Weighted F1: 0.2179
Average Location Accuracy: 0.3714
Average Location-Category Joint Accuracy: 0.0275

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.1159          0.5276 32        
security                              nan             nan 32        
instruction_adherence             -0.1093          0.5515 32        
plan_optimization                  0.1282          0.4843 32        
overall                            0.1574          0.3897 32        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     16        
Poor Information Retrieval               0.0000     0.0000     0.0000     10        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     3         
Incorrect Problem Identification         0.0000     0.0000     0.0000     5         
Tool Selection Errors                    0.5200     0.7222     0.6047     18        
Formatting Errors                        0.2308     0.1667     0.1935     18        
Instruction Non-compliance               0.4444     0.7059     0.5455     17        
Environment Setup Errors                 0.0000     0.0000     0.0000     2         
Authentication Errors                    0.0000     0.0000     0.0000     3         
Service Errors                           0.0000     0.0000     0.0000     1         
Resource Not Found                       0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     11        
Resource Abuse                           0.0370     0.1111     0.0556     9         
Goal Deviation                           0.6154     0.3333     0.4324     24        
Task Orchestration                       1.0000     0.0714     0.1333     14        
