Weighted F1: 0.1750
Average Location Accuracy: 0.1425
Average Location-Category Joint Accuracy: 0.0256

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.2210          0.0568 75        
security                              nan             nan 74        
instruction_adherence              0.0840          0.4799 73        
plan_optimization                  0.1095          0.3600 72        
overall                            0.0500          0.6790 71        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4545     0.3750     0.4110     40        
Tool-related                             0.5455     0.1667     0.2553     36        
Poor Information Retrieval               0.1333     0.0952     0.1111     21        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     13        
Incorrect Problem Identification         0.0000     0.0000     0.0000     14        
Tool Selection Errors                    0.4800     0.3243     0.3871     37        
Formatting Errors                        0.0000     0.0000     0.0000     47        
Instruction Non-compliance               0.5000     0.1346     0.2121     52        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.5000     0.1111     0.1818     9         
Authentication Errors                    0.0000     0.0000     0.0000     5         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     21        
Resource Abuse                           0.1667     0.0345     0.0571     29        
Goal Deviation                           0.8000     0.1935     0.3117     62        
Task Orchestration                       0.0000     0.0000     0.0000     35        
