model,split,trace_id,base_wf1,base_loc,base_joint,causal_wf1,causal_loc,causal_joint,corr_wf1,corr_loc,corr_joint,delta_corr_vs_causal,delta_corr_vs_base,delta_wf1_vs_causal,delta_loc_vs_causal,delta_joint_vs_causal,bucket
GPT-oss-120B,GAIA_dedup,ea313eef484bb042ddb079771359c8e6,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.4,0.0,0.0,-1.9333333333333331,0.4,0.06666666666666671,-1.0,-1.0,not_working
GPT-oss-120B,GAIA_dedup,b7f8fcd484777f9d330f24a2ff30dd25,0.5,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,-1.5,-2.5,-0.5,-1.0,0.0,not_working
GPT-oss-120B,GAIA_dedup,7ee8e8df6e8cd101d9af8a4a4f6ceedb,0.3333333333333333,0.0,0.0,0.25,1.0,0.3333333333333333,0.25,0.0,0.0,-1.3333333333333333,-0.08333333333333331,0.0,-1.0,-0.3333333333333333,not_working
GPT-oss-120B,SWE_Bench_dedup,72822db6e120878d916b515c2501246b,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,-1.25,0.0,-0.25,-1.0,0.0,not_working
GPT-oss-120B,GAIA_dedup,53dba4241b22d5039c9c119871c7c8b4,0.3333333333333333,0.0,0.0,0.5714285714285714,1.0,0.0,0.4444444444444444,0.0,0.0,-1.126984126984127,0.1111111111111111,-0.12698412698412698,-1.0,0.0,not_working
GPT-oss-120B,GAIA_dedup,0ebe673d64647ec44c370638b82d3c78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,not_working
GPT-oss-120B,GAIA_dedup,3637c5845140adbf29c565923c20e94d,0.4444444444444444,0.0,0.0,0.4444444444444444,1.0,0.0,0.5454545454545454,0.0,0.0,-0.898989898989899,0.101010101010101,0.101010101010101,-1.0,0.0,not_working
GPT-oss-120B,GAIA_dedup,41b597524173272503073a0799ac523c,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.5,0.0,0.0,-0.8333333333333333,0.5,0.16666666666666669,-1.0,0.0,not_working
GPT-oss-120B,GAIA_dedup,911e853f02d03e976dbf0c16f653ab57,0.6666666666666666,1.0,0.16666666666666666,0.8,1.0,0.6666666666666666,0.5,1.0,0.16666666666666666,-0.8,-0.16666666666666652,-0.30000000000000004,0.0,-0.5,not_working
GPT-oss-120B,GAIA_dedup,7c98d39b2699d41fa913f8fbe60c04ed,0.2857142857142857,0.5,0.0,0.5,1.0,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,-0.6666666666666669,0.2142857142857142,-0.16666666666666669,-0.5,0.0,not_working
GPT-oss-120B,GAIA_dedup,fb3333ca30eb8af56d4f31839ca9e317,0.6666666666666666,0.5,0.0,0.4,0.5,0.0,0.4,0.0,0.0,-0.5,-0.7666666666666665,0.0,-0.5,0.0,not_working
GPT-oss-120B,GAIA_dedup,a96c6811716c0473b86a23321db79c34,0.25,0.3333333333333333,0.2,0.5,0.3333333333333333,0.0,0.4,0.0,0.0,-0.43333333333333324,-0.3833333333333332,-0.09999999999999998,-0.3333333333333333,0.0,not_working
