model,split,trace_id,base_wf1,base_loc,base_joint,causal_wf1,causal_loc,causal_joint,corr_wf1,corr_loc,corr_joint,delta_corr_vs_causal,delta_corr_vs_base,delta_wf1_vs_causal,delta_loc_vs_causal,delta_joint_vs_causal,bucket
GPT-oss-120B,GAIA_dedup,dbc070b918d4a052c0b686081408fb52,0.8571428571428571,0.0,0.0,0.5,0.0,0.0,0.6,1.0,0.6666666666666666,1.7666666666666666,1.4095238095238094,0.09999999999999998,1.0,0.6666666666666666,working
GPT-oss-120B,GAIA_dedup,27a6c5ebc3311542156fdde857a0035f,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.6666666666666665,1.6666666666666665,0.6666666666666666,1.0,0.0,working
GPT-oss-120B,GAIA_dedup,4ae16319f0de44a7d1e84595b41ae08d,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.5,1.0,0.6666666666666666,1.5952380952380951,2.1666666666666665,-0.0714285714285714,1.0,0.6666666666666666,working
GPT-oss-120B,GAIA_dedup,4514626d62ed350ee7878c03f51bbe68,0.5,0.0,0.0,0.5,0.0,0.0,0.5714285714285714,1.0,0.3333333333333333,1.4047619047619047,1.4047619047619047,0.0714285714285714,1.0,0.3333333333333333,working
GPT-oss-120B,GAIA_dedup,0242ca2533fac5b8b604a9060b3e15d6,0.4,1.0,0.4,0.6666666666666666,0.0,0.0,0.5454545454545454,1.0,0.4,1.2787878787878788,0.1454545454545455,-0.12121212121212122,1.0,0.4,working
GPT-oss-120B,GAIA_dedup,9e67afe0ff4eca1558073c2e5cfbf876,0.5714285714285714,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.5,0.5,1.1666666666666667,0.9285714285714286,0.16666666666666669,0.5,0.5,working
GPT-oss-120B,GAIA_dedup,1427b326e21963a1228647ad8dff2bf4,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,1.3333333333333335,-0.5,1.0,0.5,working
GPT-oss-120B,GAIA_dedup,0adc4f3b99d9564d32811e913cc9d248,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,working
GPT-oss-120B,GAIA_dedup,63ac9e03bf750e58eecbc5b148d8d215,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.6,0.5,0.5,0.0,working
GPT-oss-120B,GAIA_dedup,cbefff615c15f4de61bd0ffd1ce97d2e,0.8,1.0,0.5,0.5,1.0,0.0,0.4444444444444444,1.0,1.0,0.9444444444444446,0.14444444444444482,-0.05555555555555558,0.0,1.0,working
