model,split,trace_id,base_wf1,base_loc,base_joint,causal_wf1,causal_loc,causal_joint,corr_wf1,corr_loc,corr_joint,delta_corr_vs_causal,delta_corr_vs_base,delta_wf1_vs_causal,delta_loc_vs_causal,delta_joint_vs_causal,bucket
GPT-oss-120B,GAIA_dedup,cbefff615c15f4de61bd0ffd1ce97d2e,0.8,1.0,0.5,0.5,1.0,0.0,0.4444444444444444,1.0,1.0,0.9444444444444446,0.14444444444444482,-0.05555555555555558,0.0,1.0,working
GPT-oss-120B,GAIA_dedup,f2de3b74884dc2312bb0fbf7c9867a9c,1.0,0.5,0.3333333333333333,0.75,1.0,0.3333333333333333,0.6,1.0,1.0,0.5166666666666666,0.7666666666666668,-0.15000000000000002,0.0,0.6666666666666667,working
GPT-oss-120B,GAIA_dedup,4ae16319f0de44a7d1e84595b41ae08d,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.5,1.0,0.6666666666666666,1.5952380952380951,2.1666666666666665,-0.0714285714285714,1.0,0.6666666666666666,working
GPT-oss-120B,GAIA_dedup,dbc070b918d4a052c0b686081408fb52,0.8571428571428571,0.0,0.0,0.5,0.0,0.0,0.6,1.0,0.6666666666666666,1.7666666666666666,1.4095238095238094,0.09999999999999998,1.0,0.6666666666666666,working
GPT-oss-120B,GAIA_dedup,1427b326e21963a1228647ad8dff2bf4,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,1.3333333333333335,-0.5,1.0,0.5,working
GPT-oss-120B,GAIA_dedup,6f0ede30602ae3fe2ced3f9fabb008a6,0.5714285714285714,0.0,0.0,0.6666666666666666,1.0,0.5,0.8888888888888888,1.0,1.0,0.7222222222222223,2.317460317460317,0.2222222222222222,0.0,0.5,working
GPT-oss-120B,GAIA_dedup,9e67afe0ff4eca1558073c2e5cfbf876,0.5714285714285714,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.5,0.5,1.1666666666666667,0.9285714285714286,0.16666666666666669,0.5,0.5,working
GPT-oss-120B,GAIA_dedup,d857dc7d137db732306e97c3820652bd,0.2857142857142857,1.0,0.5,0.5,1.0,0.5,0.36363636363636365,1.0,1.0,0.36363636363636376,0.5779220779220782,-0.13636363636363635,0.0,0.5,working
GPT-oss-120B,GAIA_dedup,1dd91d388cb4889e6c1f5ea5ca06bce6,0.2,1.0,0.2,0.5,1.0,0.2,0.6153846153846154,1.0,0.6,0.5153846153846156,0.8153846153846156,0.11538461538461542,0.0,0.39999999999999997,working
GPT-oss-120B,GAIA_dedup,4514626d62ed350ee7878c03f51bbe68,0.5,0.0,0.0,0.5,0.0,0.0,0.5714285714285714,1.0,0.3333333333333333,1.4047619047619047,1.4047619047619047,0.0714285714285714,1.0,0.3333333333333333,working
GPT-oss-120B,GAIA_dedup,a7017f40866dd77c6c0c0e98bad17f69,0.0,0.5,0.0,0.25,0.5,0.0,0.15384615384615385,0.5,0.3333333333333333,0.23717948717948723,0.4871794871794872,-0.09615384615384615,0.0,0.3333333333333333,working
GPT-oss-120B,GAIA_dedup,a041b8d88e3fedcc7d387da328f8a3b4,0.4444444444444444,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6,0.6666666666666666,0.25,0.5166666666666666,1.0722222222222222,-0.06666666666666665,0.3333333333333333,0.25,working
GPT-oss-120B,GAIA_dedup,5e5dc94e090341c564d582f551a0cddb,0.4,0.0,0.0,0.2222222222222222,0.5,0.0,0.2857142857142857,0.5,0.2,0.26349206349206356,0.5857142857142857,0.06349206349206349,0.0,0.2,working
GPT-oss-120B,GAIA_dedup,fcdcb46c7df316b571138b53bd3c822a,0.4,0.0,0.0,0.2857142857142857,0.0,0.0,0.5,0.3333333333333333,0.2,0.7476190476190475,0.6333333333333332,0.2142857142857143,0.3333333333333333,0.2,working
GPT-oss-120B,GAIA_dedup,85c14ced5177cdad83f1f1f898a1c6c7,0.4444444444444444,0.25,0.0,0.4,0.75,0.0,0.5,1.0,0.16666666666666666,0.5166666666666668,0.9722222222222223,0.09999999999999998,0.25,0.16666666666666666,working
GPT-oss-120B,GAIA_dedup,d9a8dff7edce2d1b15ed4769886d9a2a,0.6,0.0,0.0,0.46153846153846156,0.2,0.0,0.5714285714285714,0.6,0.16666666666666666,0.6765567765567764,0.738095238095238,0.10989010989010983,0.39999999999999997,0.16666666666666666,working
GPT-oss-120B,GAIA_dedup,e491d73ca2fd8a2a6f8984feb1c408a3,0.3333333333333333,0.0,0.0,0.3076923076923077,0.5,0.14285714285714285,0.5,0.5,0.2857142857142857,0.3351648351648351,0.9523809523809523,0.1923076923076923,0.0,0.14285714285714285,working
