model,split,trace_id,base_wf1,base_loc,base_joint,causal_wf1,causal_loc,causal_joint,corr_wf1,corr_loc,corr_joint,delta_corr_vs_causal,delta_corr_vs_base,delta_wf1_vs_causal,delta_loc_vs_causal,delta_joint_vs_causal,bucket
GPT-oss-120B,GAIA_dedup,1427b326e21963a1228647ad8dff2bf4,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,1.3333333333333335,-0.5,1.0,0.5,working
GPT-oss-120B,GAIA_dedup,27a6c5ebc3311542156fdde857a0035f,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.6666666666666665,1.6666666666666665,0.6666666666666666,1.0,0.0,working
GPT-oss-120B,GAIA_dedup,4514626d62ed350ee7878c03f51bbe68,0.5,0.0,0.0,0.5,0.0,0.0,0.5714285714285714,1.0,0.3333333333333333,1.4047619047619047,1.4047619047619047,0.0714285714285714,1.0,0.3333333333333333,working
GPT-oss-120B,GAIA_dedup,4ae16319f0de44a7d1e84595b41ae08d,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.5,1.0,0.6666666666666666,1.5952380952380951,2.1666666666666665,-0.0714285714285714,1.0,0.6666666666666666,working
GPT-oss-120B,GAIA_dedup,dbc070b918d4a052c0b686081408fb52,0.8571428571428571,0.0,0.0,0.5,0.0,0.0,0.6,1.0,0.6666666666666666,1.7666666666666666,1.4095238095238094,0.09999999999999998,1.0,0.6666666666666666,working
GPT-oss-120B,GAIA_dedup,6d5b91f06e5a7377d4798be65fe46e97,0.8,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.4444444444444444,0.6666666666666666,0.0,0.44444444444444453,-0.022222222222222143,-0.2222222222222222,0.6666666666666666,0.0,neutral
GPT-oss-120B,GAIA_dedup,25c8275651013fe8398ef0f735eb0912,0.2857142857142857,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.5,0.0,-0.0714285714285714,0.2142857142857143,-0.5714285714285714,0.5,0.0,not_working
GPT-oss-120B,GAIA_dedup,2713fa0aa73f0c5a8b480f026c21a547,0.8888888888888888,0.5,0.2,0.8,0.5,0.0,1.0,1.0,0.2,0.9000000000000001,0.6111111111111114,0.19999999999999996,0.5,0.2,working
GPT-oss-120B,GAIA_dedup,63ac9e03bf750e58eecbc5b148d8d215,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.6,0.5,0.5,0.0,working
GPT-oss-120B,GAIA_dedup,88c63c780aba1f23c3c5345aa340d7e2,0.3333333333333333,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.5,0.0,0.5,0.4523809523809524,0.0,0.5,0.0,working
GPT-oss-120B,GAIA_dedup,9cd6dc7c0af658a87f603b488950f409,0.2857142857142857,0.0,0.0,0.5714285714285714,0.0,0.0,0.36363636363636365,0.5,0.0,0.29220779220779225,0.577922077922078,-0.20779220779220775,0.5,0.0,working
GPT-oss-120B,GAIA_dedup,9e67afe0ff4eca1558073c2e5cfbf876,0.5714285714285714,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.5,0.5,1.1666666666666667,0.9285714285714286,0.16666666666666669,0.5,0.5,working
GPT-oss-120B,GAIA_dedup,b810534e7915119254ea6977a72493ae,0.5714285714285714,0.5,0.0,0.5,0.5,0.5,0.6666666666666666,1.0,0.25,0.4166666666666665,0.8452380952380951,0.16666666666666663,0.5,-0.25,working
GPT-oss-120B,GAIA_dedup,bcaad76af172d10d2c7e4c257bf20d27,0.5714285714285714,0.5,0.25,0.5714285714285714,0.5,0.25,0.25,1.0,0.0,-0.0714285714285714,-0.0714285714285714,-0.3214285714285714,0.5,-0.25,not_working
GPT-oss-120B,GAIA_dedup,387546b0d3e81503bd8d392c6f1b6b25,0.2222222222222222,0.0,0.0,0.16666666666666666,0.0,0.0,0.6153846153846154,0.4,0.0,0.8487179487179487,0.7931623931623931,0.4487179487179488,0.4,0.0,working
GPT-oss-120B,GAIA_dedup,d7f2f823ff4d4d8bbec1039c6c302a06,0.5,0.4,0.3333333333333333,0.8571428571428571,0.2,0.16666666666666666,0.46153846153846156,0.6,0.16666666666666666,0.00439560439560438,-0.00512820512820511,-0.39560439560439553,0.39999999999999997,0.0,neutral
GPT-oss-120B,GAIA_dedup,d9a8dff7edce2d1b15ed4769886d9a2a,0.6,0.0,0.0,0.46153846153846156,0.2,0.0,0.5714285714285714,0.6,0.16666666666666666,0.6765567765567764,0.738095238095238,0.10989010989010983,0.39999999999999997,0.16666666666666666,working
GPT-oss-120B,GAIA_dedup,a041b8d88e3fedcc7d387da328f8a3b4,0.4444444444444444,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6,0.6666666666666666,0.25,0.5166666666666666,1.0722222222222222,-0.06666666666666665,0.3333333333333333,0.25,working
GPT-oss-120B,GAIA_dedup,d277cf50c742ad43ddf128587f59b363,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,-0.2222222222222222,0.3333333333333333,0.0,working
GPT-oss-120B,GAIA_dedup,f04b425c107f7b972209528a46c407d9,0.0,0.16666666666666666,0.0,0.46153846153846156,0.0,0.0,0.3076923076923077,0.3333333333333333,0.0,0.1794871794871794,0.47435897435897434,-0.15384615384615385,0.3333333333333333,0.0,working
GPT-oss-120B,GAIA_dedup,fcdcb46c7df316b571138b53bd3c822a,0.4,0.0,0.0,0.2857142857142857,0.0,0.0,0.5,0.3333333333333333,0.2,0.7476190476190475,0.6333333333333332,0.2142857142857143,0.3333333333333333,0.2,working
GPT-oss-120B,SWE_Bench_dedup,c104d0e28f4f8dddeea1dd90b4138e5a,0.5,0.0,0.0,0.4,0.0,0.0,0.5714285714285714,0.3333333333333333,0.0,0.5047619047619046,0.40476190476190466,0.17142857142857137,0.3333333333333333,0.0,working
GPT-oss-120B,GAIA_dedup,7bf0addde339e4cac9dd3b772232a7e0,0.18181818181818182,0.25,0.0,0.42857142857142855,0.25,0.0,0.5,0.5,0.0,0.3214285714285714,0.5681818181818181,0.07142857142857145,0.25,0.0,working
GPT-oss-120B,GAIA_dedup,85c14ced5177cdad83f1f1f898a1c6c7,0.4444444444444444,0.25,0.0,0.4,0.75,0.0,0.5,1.0,0.16666666666666666,0.5166666666666668,0.9722222222222223,0.09999999999999998,0.25,0.16666666666666666,working
GPT-oss-120B,GAIA_dedup,3acaa3150977e199eddb95c64f2ada2e,0.0,0.0,0.0,0.25,0.0,0.0,0.42857142857142855,0.2,0.0,0.37857142857142856,0.6285714285714286,0.17857142857142855,0.2,0.0,working
GPT-oss-120B,GAIA_dedup,772605f0794b0fa96bc942a8a7736571,0.4,0.0,0.0,0.36363636363636365,0.0,0.0,0.47058823529411764,0.16666666666666666,0.0,0.2736185383244206,0.23725490196078425,0.106951871657754,0.16666666666666666,0.0,working
GPT-oss-120B,SWE_Bench_dedup,af1931b778d7a82ca6a1f7dfdb9aa8bb,0.5714285714285714,0.0,0.0,0.4444444444444444,0.0,0.0,0.42857142857142855,0.1111111111111111,0.0,0.09523809523809523,-0.031746031746031744,-0.015873015873015872,0.1111111111111111,0.0,neutral
GPT-oss-120B,SWE_Bench_dedup,fa4a1e7a2eb87324ae399ad7efe5be5e,0.6,0.0,0.0,0.7692307692307693,0.0,0.0,0.5454545454545454,0.1111111111111111,0.0,-0.1126651126651127,0.0565656565656566,-0.22377622377622386,0.1111111111111111,0.0,not_working
GPT-oss-120B,SWE_Bench_dedup,b4f13f317583e7ad2ed96a499e7b8f60,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.4,0.08333333333333333,0.0,0.15000000000000002,-0.016666666666666663,0.06666666666666671,0.08333333333333333,0.0,neutral
