model,split,trace_id,base_wf1,base_loc,base_joint,causal_wf1,causal_loc,causal_joint,corr_wf1,corr_loc,corr_joint,score_base,score_causal,score_corr,delta_corr_vs_causal,delta_corr_vs_base,delta_wf1_vs_causal,delta_loc_vs_causal,delta_joint_vs_causal,delta_wf1_vs_base,delta_loc_vs_base,delta_joint_vs_base,bucket
openai-gpt-oss-20b,GAIA_dedup,0242ca2533fac5b8b604a9060b3e15d6,0.8,0.0,0.0,0.6,1.0,0.4,0.6666666666666666,0.0,0.0,0.8,2.0,0.6666666666666666,-1.3333333333333335,-0.13333333333333341,0.06666666666666665,-1.0,-0.4,-0.13333333333333341,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,08be1639c58e086cf0bb8c269039973d,0.7272727272727273,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.7272727272727273,1.0,0.6,-0.4,-0.12727272727272732,0.6,-1.0,0.0,-0.12727272727272732,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,4ae16319f0de44a7d1e84595b41ae08d,0.5714285714285714,0.0,0.0,0.0,1.0,0.0,0.4444444444444444,0.0,0.0,0.5714285714285714,1.0,0.4444444444444444,-0.5555555555555556,-0.12698412698412698,0.4444444444444444,-1.0,0.0,-0.12698412698412698,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,62df2a06b647ca730391602dbf62f843,0.5714285714285714,0.0,0.0,0.5454545454545454,1.0,0.25,0.5454545454545454,0.0,0.0,0.5714285714285714,1.7954545454545454,0.5454545454545454,-1.25,-0.025974025974025983,0.0,-1.0,-0.25,-0.025974025974025983,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,9cd6dc7c0af658a87f603b488950f409,0.25,0.0,0.0,0.75,1.0,0.6666666666666666,0.6,0.0,0.0,0.25,2.4166666666666665,0.6,-1.8166666666666664,0.35,-0.15000000000000002,-1.0,-0.6666666666666666,0.35,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,b7f8fcd484777f9d330f24a2ff30dd25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,-2.0,1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,0035f455b3ff2295167a844f04d85d34,0.5714285714285714,0.0,0.0,0.5,0.5,0.0,0.4444444444444444,0.0,0.0,0.5714285714285714,1.0,0.4444444444444444,-0.5555555555555556,-0.12698412698412698,-0.05555555555555558,-0.5,0.0,-0.12698412698412698,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,1dd91d388cb4889e6c1f5ea5ca06bce6,0.2222222222222222,0.5,0.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.7222222222222222,0.5,0.6666666666666666,0.16666666666666663,-0.05555555555555558,0.6666666666666666,-0.5,0.0,0.4444444444444444,-0.5,0.0,neutral
openai-gpt-oss-20b,GAIA_dedup,25c8275651013fe8398ef0f735eb0912,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.5,0.6,0.5,0.25,0.3333333333333333,2.1666666666666665,1.35,-0.8166666666666664,1.0166666666666668,-0.06666666666666665,-0.5,-0.25,0.26666666666666666,0.5,0.25,not_working
openai-gpt-oss-20b,GAIA_dedup,9ec7d4a8ab8c74ab56361ef29d1b1660,0.6666666666666666,0.0,0.0,0.2857142857142857,0.5,0.16666666666666666,0.7692307692307693,0.0,0.0,0.6666666666666666,0.9523809523809523,0.7692307692307693,-0.18315018315018305,0.10256410256410264,0.4835164835164836,-0.5,-0.16666666666666666,0.10256410256410264,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,bcaad76af172d10d2c7e4c257bf20d27,0.6666666666666666,0.5,0.25,0.0,0.5,0.0,0.6666666666666666,0.0,0.0,1.4166666666666665,0.5,0.6666666666666666,0.16666666666666663,-0.7499999999999999,0.6666666666666666,-0.5,0.0,0.0,-0.5,-0.25,neutral
openai-gpt-oss-20b,GAIA_dedup,e491d73ca2fd8a2a6f8984feb1c408a3,0.16666666666666666,0.0,0.0,0.3076923076923077,0.5,0.0,0.42857142857142855,0.0,0.0,0.16666666666666666,0.8076923076923077,0.42857142857142855,-0.37912087912087916,0.26190476190476186,0.12087912087912084,-0.5,0.0,0.26190476190476186,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,f2de3b74884dc2312bb0fbf7c9867a9c,0.8571428571428571,1.0,1.0,0.75,1.0,0.6666666666666666,0.8571428571428571,0.5,0.3333333333333333,2.857142857142857,2.4166666666666665,1.6904761904761905,-0.726190476190476,-1.1666666666666667,0.1071428571428571,-0.5,-0.3333333333333333,0.0,-0.5,-0.6666666666666667,not_working
openai-gpt-oss-20b,GAIA_dedup,a96c6811716c0473b86a23321db79c34,0.2857142857142857,0.0,0.0,0.4,0.3333333333333333,0.2,0.4444444444444444,0.0,0.0,0.2857142857142857,0.9333333333333333,0.4444444444444444,-0.48888888888888893,0.15873015873015872,0.0444444444444444,-0.3333333333333333,-0.2,0.15873015873015872,0.0,0.0,not_working
openai-gpt-oss-20b,SWE_Bench_dedup,81d7ec041d71e4e6d97b6332a8182e78,0.2222222222222222,0.0,0.0,0.5454545454545454,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.0,0.0,0.2222222222222222,1.0454545454545454,0.2222222222222222,-0.8232323232323232,0.0,-0.3232323232323232,-0.3333333333333333,-0.16666666666666666,0.0,0.0,0.0,not_working
