model,split,trace_id,base_wf1,base_loc,base_joint,causal_wf1,causal_loc,causal_joint,corr_wf1,corr_loc,corr_joint,score_base,score_causal,score_corr,delta_corr_vs_causal,delta_corr_vs_base,delta_wf1_vs_causal,delta_loc_vs_causal,delta_joint_vs_causal,delta_wf1_vs_base,delta_loc_vs_base,delta_joint_vs_base,bucket
openai-gpt-oss-20b,GAIA_dedup,0adc4f3b99d9564d32811e913cc9d248,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,1427b326e21963a1228647ad8dff2bf4,0.6666666666666666,0.0,0.0,1.0,1.0,0.25,0.5454545454545454,1.0,0.75,0.6666666666666666,2.25,2.2954545454545454,0.045454545454545414,1.628787878787879,-0.4545454545454546,0.0,0.5,-0.12121212121212122,1.0,0.75,working
openai-gpt-oss-20b,GAIA_dedup,18efa24e637b9423f34180d1f2041d3e,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,not_working
openai-gpt-oss-20b,SWE_Bench_dedup,81d7ec041d71e4e6d97b6332a8182e78,0.2222222222222222,0.0,0.0,0.5454545454545454,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.0,0.0,0.2222222222222222,1.0454545454545454,0.2222222222222222,-0.8232323232323232,0.0,-0.3232323232323232,-0.3333333333333333,-0.16666666666666666,0.0,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,d7f2f823ff4d4d8bbec1039c6c302a06,0.5714285714285714,0.0,0.0,0.75,0.0,0.0,0.4444444444444444,0.2,0.0,0.5714285714285714,0.75,0.6444444444444444,-0.10555555555555562,0.07301587301587298,-0.3055555555555556,0.2,0.0,-0.12698412698412698,0.2,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,cbefff615c15f4de61bd0ffd1ce97d2e,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.6666666666666666,0.5,0.25,-0.25,-0.41666666666666663,-0.25,0.0,0.0,-0.41666666666666663,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,d857dc7d137db732306e97c3820652bd,0.3333333333333333,1.0,0.5,0.5,1.0,0.5,0.3333333333333333,1.0,0.5,1.8333333333333333,2.0,1.8333333333333333,-0.16666666666666674,0.0,-0.16666666666666669,0.0,0.0,0.0,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,9cd6dc7c0af658a87f603b488950f409,0.25,0.0,0.0,0.75,1.0,0.6666666666666666,0.6,0.0,0.0,0.25,2.4166666666666665,0.6,-1.8166666666666664,0.35,-0.15000000000000002,-1.0,-0.6666666666666666,0.35,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,9e67afe0ff4eca1558073c2e5cfbf876,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0.4444444444444444,0.0,0.0,0.5714285714285714,0.5714285714285714,0.4444444444444444,-0.12698412698412698,-0.12698412698412698,-0.12698412698412698,0.0,0.0,-0.12698412698412698,0.0,0.0,not_working
openai-gpt-oss-20b,SWE_Bench_dedup,790482a54f9837ee5bcd410b9d7595b9,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.5714285714285714,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5714285714285714,-0.09523809523809523,-0.09523809523809523,-0.09523809523809523,0.0,0.0,-0.09523809523809523,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,3637c5845140adbf29c565923c20e94d,0.4444444444444444,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,1.0,0.0,0.4444444444444444,0.3333333333333333,1.25,0.9166666666666667,0.8055555555555556,-0.08333333333333331,1.0,0.0,-0.19444444444444442,1.0,0.0,working
openai-gpt-oss-20b,GAIA_dedup,75121379e11c550f3ca58e17c972266b,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5,0.0,0.25,0.5,0.0,0.3333333333333333,0.8333333333333333,0.75,-0.08333333333333326,0.4166666666666667,-0.08333333333333331,0.0,0.0,-0.08333333333333331,0.5,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,2209204b631e26f4cee4dc3dd995608c,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.6,0.0,0.0,0.5,0.6666666666666666,0.6,-0.06666666666666665,0.09999999999999998,-0.06666666666666665,0.0,0.0,0.09999999999999998,0.0,0.0,not_working
openai-gpt-oss-20b,GAIA_dedup,25c8275651013fe8398ef0f735eb0912,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.5,0.6,0.5,0.25,0.3333333333333333,2.1666666666666665,1.35,-0.8166666666666664,1.0166666666666668,-0.06666666666666665,-0.5,-0.25,0.26666666666666666,0.5,0.25,not_working
openai-gpt-oss-20b,GAIA_dedup,0035f455b3ff2295167a844f04d85d34,0.5714285714285714,0.0,0.0,0.5,0.5,0.0,0.4444444444444444,0.0,0.0,0.5714285714285714,1.0,0.4444444444444444,-0.5555555555555556,-0.12698412698412698,-0.05555555555555558,-0.5,0.0,-0.12698412698412698,0.0,0.0,not_working
