model,split,trace_id,base_wf1,base_loc,base_joint,causal_wf1,causal_loc,causal_joint,corr_wf1,corr_loc,corr_joint,score_base,score_causal,score_corr,delta_corr_vs_causal,delta_corr_vs_base,delta_wf1_vs_causal,delta_loc_vs_causal,delta_joint_vs_causal,delta_wf1_vs_base,delta_loc_vs_base,delta_joint_vs_base,bucket
openai-gpt-oss-20b,GAIA_dedup,4c79c8ba0cf1e8fcb1c408d53016c560,0.6,0.5,0.0,0.2857142857142857,0.0,0.0,0.6,0.5,0.6,1.1,0.2857142857142857,1.7000000000000002,1.4142857142857146,0.6000000000000001,0.3142857142857143,0.5,0.6,0.0,0.0,0.6,working
openai-gpt-oss-20b,GAIA_dedup,dbc070b918d4a052c0b686081408fb52,0.75,0.0,0.0,0.0,1.0,0.0,0.6,1.0,0.6666666666666666,0.75,1.0,2.2666666666666666,1.2666666666666666,1.5166666666666666,0.6,0.0,0.6666666666666666,-0.15000000000000002,1.0,0.6666666666666666,working
openai-gpt-oss-20b,GAIA_dedup,4a8d094e92433f1ba1da21f602c417d9,0.0,0.0,0.0,0.25,0.0,0.0,0.4444444444444444,0.5,0.3333333333333333,0.0,0.25,1.2777777777777777,1.0277777777777777,1.2777777777777777,0.19444444444444442,0.5,0.3333333333333333,0.4444444444444444,0.5,0.3333333333333333,working
openai-gpt-oss-20b,GAIA_dedup,0ebe673d64647ec44c370638b82d3c78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,working
openai-gpt-oss-20b,GAIA_dedup,3215fc75e81bdb73706a4fb37b66427f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,working
openai-gpt-oss-20b,GAIA_dedup,3637c5845140adbf29c565923c20e94d,0.4444444444444444,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,1.0,0.0,0.4444444444444444,0.3333333333333333,1.25,0.9166666666666667,0.8055555555555556,-0.08333333333333331,1.0,0.0,-0.19444444444444442,1.0,0.0,working
openai-gpt-oss-20b,GAIA_dedup,72877db591837666d500b459fb3cf29d,0.0,0.0,0.0,0.0,0.5,0.0,0.4,0.5,0.5,0.0,0.5,1.4,0.8999999999999999,1.4,0.4,0.0,0.5,0.4,0.5,0.5,working
openai-gpt-oss-20b,SWE_Bench_dedup,83bce802f0f19098f351cf9dcd6d88e7,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.6,0.125,0.1,0.4444444444444444,0.0,0.825,0.825,0.38055555555555554,0.6,0.125,0.1,0.15555555555555556,0.125,0.1,working
openai-gpt-oss-20b,SWE_Bench_dedup,e7bdf7bbf6b931c3be95afe323704041,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.5,0.2222222222222222,0.07142857142857142,0.2222222222222222,0.0,0.7936507936507936,0.7936507936507936,0.5714285714285714,0.5,0.2222222222222222,0.07142857142857142,0.2777777777777778,0.2222222222222222,0.07142857142857142,working
openai-gpt-oss-20b,GAIA_dedup,2c77a8feec544cc61a00a387ad792a13,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.5,0.0,0.3333333333333333,0.0,0.7857142857142857,0.7857142857142857,0.4523809523809524,0.2857142857142857,0.5,0.0,-0.047619047619047616,0.5,0.0,working
