model,split,trace_id,base_wf1,base_loc,base_joint,causal_wf1,causal_loc,causal_joint,corr_wf1,corr_loc,corr_joint,score_base,score_causal,score_corr,delta_corr_vs_causal,delta_corr_vs_base,delta_wf1_vs_causal,delta_loc_vs_causal,delta_joint_vs_causal,delta_wf1_vs_base,delta_loc_vs_base,delta_joint_vs_base,bucket
openai-gpt-oss-20b,GAIA_dedup,3215fc75e81bdb73706a4fb37b66427f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,working
openai-gpt-oss-20b,GAIA_dedup,3637c5845140adbf29c565923c20e94d,0.4444444444444444,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,1.0,0.0,0.4444444444444444,0.3333333333333333,1.25,0.9166666666666667,0.8055555555555556,-0.08333333333333331,1.0,0.0,-0.19444444444444442,1.0,0.0,working
openai-gpt-oss-20b,GAIA_dedup,2c77a8feec544cc61a00a387ad792a13,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.5,0.0,0.3333333333333333,0.0,0.7857142857142857,0.7857142857142857,0.4523809523809524,0.2857142857142857,0.5,0.0,-0.047619047619047616,0.5,0.0,working
openai-gpt-oss-20b,GAIA_dedup,4a8d094e92433f1ba1da21f602c417d9,0.0,0.0,0.0,0.25,0.0,0.0,0.4444444444444444,0.5,0.3333333333333333,0.0,0.25,1.2777777777777777,1.0277777777777777,1.2777777777777777,0.19444444444444442,0.5,0.3333333333333333,0.4444444444444444,0.5,0.3333333333333333,working
openai-gpt-oss-20b,GAIA_dedup,fb3333ca30eb8af56d4f31839ca9e317,0.25,0.0,0.0,0.5,0.0,0.0,0.4444444444444444,0.5,0.25,0.25,0.5,1.1944444444444444,0.6944444444444444,0.9444444444444444,-0.05555555555555558,0.5,0.25,0.19444444444444442,0.5,0.25,working
openai-gpt-oss-20b,GAIA_dedup,d9a8dff7edce2d1b15ed4769886d9a2a,0.6,0.2,0.16666666666666666,0.42857142857142855,0.0,0.0,0.6153846153846154,0.4,0.16666666666666666,0.9666666666666667,0.42857142857142855,1.182051282051282,0.7534798534798535,0.2153846153846154,0.18681318681318687,0.4,0.16666666666666666,0.015384615384615441,0.2,0.0,working
openai-gpt-oss-20b,GAIA_dedup,a041b8d88e3fedcc7d387da328f8a3b4,0.5,0.0,0.0,0.5714285714285714,0.3333333333333333,0.5,0.6,0.6666666666666666,0.25,0.5,1.4047619047619047,1.5166666666666666,0.11190476190476195,1.0166666666666666,0.02857142857142858,0.3333333333333333,-0.25,0.09999999999999998,0.6666666666666666,0.25,working
openai-gpt-oss-20b,GAIA_dedup,7bf0addde339e4cac9dd3b772232a7e0,0.2,0.0,0.0,0.2,0.0,0.0,0.3076923076923077,0.25,0.0,0.2,0.2,0.5576923076923077,0.3576923076923077,0.3576923076923077,0.1076923076923077,0.25,0.0,0.1076923076923077,0.25,0.0,working
openai-gpt-oss-20b,SWE_Bench_dedup,e7bdf7bbf6b931c3be95afe323704041,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.5,0.2222222222222222,0.07142857142857142,0.2222222222222222,0.0,0.7936507936507936,0.7936507936507936,0.5714285714285714,0.5,0.2222222222222222,0.07142857142857142,0.2777777777777778,0.2222222222222222,0.07142857142857142,working
openai-gpt-oss-20b,GAIA_dedup,d7f2f823ff4d4d8bbec1039c6c302a06,0.5714285714285714,0.0,0.0,0.75,0.0,0.0,0.4444444444444444,0.2,0.0,0.5714285714285714,0.75,0.6444444444444444,-0.10555555555555562,0.07301587301587298,-0.3055555555555556,0.2,0.0,-0.12698412698412698,0.2,0.0,not_working
openai-gpt-oss-20b,SWE_Bench_dedup,83bce802f0f19098f351cf9dcd6d88e7,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.6,0.125,0.1,0.4444444444444444,0.0,0.825,0.825,0.38055555555555554,0.6,0.125,0.1,0.15555555555555556,0.125,0.1,working
