sample_id,trace_id,split,model,bucket_from_metrics,rule_based_mechanism_bucket,rule_based_bucket_reason,suggested_mechanism_bucket,delta_corr_vs_causal,delta_corr_vs_base,delta_wf1_vs_causal,delta_loc_vs_causal,delta_joint_vs_causal,delta_wf1_vs_base,delta_loc_vs_base,delta_joint_vs_base,gold_errors,baseline_errors,causal_errors,corr_errors,gold_evidence_excerpt,baseline_evidence_excerpt,causal_evidence_excerpt,corr_evidence_excerpt,gold_leaf_categories,baseline_leaf_categories,causal_leaf_categories,corr_leaf_categories,baseline_tp_leaf,baseline_fp_leaf,baseline_fn_leaf,causal_tp_leaf,causal_fp_leaf,causal_fn_leaf,corr_tp_leaf,corr_fp_leaf,corr_fn_leaf,question_snippet,mechanism_bucket,pattern_tags,pattern_characteristics,corr_edge_role,impact_severity,confidence,evidence_note,annotator
1,4c79c8ba0cf1e8fcb1c408d53016c560,GAIA_dedup,openai-gpt-oss-20b,working,corr-added-gain,corr score > causal score,corr-added-gain,1.4142857142857146,0.6000000000000001,0.3142857142857143,0.5,0.6,0.0,0.0,0.6,Instruction Non-compliance@ebb20734fd244edb | Tool-related@1813f4090bc6e14d | Task Orchestration@1813f4090bc6e14d | Instruction Non-compliance@1813f4090bc6e14d | Goal Deviation@1813f4090bc6e14d,Language-only@ec33f15f507a7a60 | Tool Selection Errors@ebb20734fd244edb | Poor Information Retrieval@a53f53272924b0cd | Instruction Non-compliance@ec33f15f507a7a60 | Goal Deviation@a53f53272924b0cd | Task Orchestration@a53f53272924b0cd,Tool Selection Errors@18df0e65c09acad8 | Goal Deviation@18df0e65c09acad8 | Language-only@18df0e65c09acad8,Hallucinations@1813f4090bc6e14d | Tool Selection Errors@1813f4090bc6e14d | Goal Deviation@1813f4090bc6e14d | Instruction Non-compliance@1813f4090bc6e14d | Poor Information Retrieval@1813f4090bc6e14d | Task Orchestration@1813f4090bc6e14d,"Instruction Non-compliance: ev=5. Verify each step to ensure accuracy and consistency with the census data before delivering the final answer.   (Missi...; desc=The system failed to include the required ""<end_plan>"" tag at the end of its plan output as specified in the prompt for ... | Tool-related: ev=""Based on reliable published figures: 1. The largest county seat by land are...","Language-only: ev=""FINAL ANSWER: 736008"" with no preceding tool calls or verification steps.; desc=The agent produced a numeric answer without using any tools or providing evidence, indicating a hallucinated response. | Tool Selection Errors: ev=Plan includes ""Use the search_agent"" but no tool calls are made in subsequent spans.; desc=The agent failed to select and invoke the r...","Tool Selection Errors: ev=""The plan states to use the search_agent to obtain a list of county seats and their land areas, but the agent never actu...; desc=The agent was instructed to use the search_agent tool to gather reliable data from the internet. However, during executi... | Goal Deviation: ev=The plan text in the span shows the agent intended to use the search_agent tool...","Hallucinations: ev=Based on reliable published figures: 1. The largest county seat by land area is Seattle (King County). According to the ...; desc=The agent provided specific population figures for Seattle and Pomeroy without any evidence of retrieving or verifying t... | Tool Selection Errors: ev=Plan: ""Use the search_agent to obtain a reliable and complete list of all count...",Goal Deviation|Instruction Non-compliance|Task Orchestration|Tool-related,Goal Deviation|Instruction Non-compliance|Language-only|Poor Information Retrieval|Task Orchestration|Tool Selection Errors,Goal Deviation|Language-only|Tool Selection Errors,Goal Deviation|Instruction Non-compliance|Language-only|Poor Information Retrieval|Task Orchestration|Tool Selection Errors,Goal Deviation|Instruction Non-compliance|Task Orchestration,Language-only|Poor Information Retrieval|Tool Selection Errors,Tool-related,Goal Deviation,Language-only|Tool Selection Errors,Instruction Non-compliance|Task Orchestration|Tool-related,Goal Deviation|Instruction Non-compliance|Task Orchestration,Language-only|Poor Information Retrieval|Tool Selection Errors,Tool-related,"\nAs of the 2020 census, what was the population difference between the largest county seat and smallest county seat, by land area of the county seat, in Washington state? For population figures, please use the official data from data.census.gov. Please report",corr-added-gain,over-propagation-fp-chain|already-solved-no-graph-needed,"Correlation preserves base errors; no added recovery, still misses tool-related requirement.",harmful,medium,medium,"corr matches base TP/FP/FN exactly and still lacks Tool-related; causal reduces TPs, suggesting correlation edges didn’t help and may propagate same false positives.",gpt-5.2:main
2,dbc070b918d4a052c0b686081408fb52,GAIA_dedup,openai-gpt-oss-20b,working,corr-added-gain,corr score > causal score,corr-added-gain,1.2666666666666666,1.5166666666666666,0.6,0.0,0.6666666666666666,-0.15000000000000002,1.0,0.6666666666666666,Language-only@0b053dba529c87ee | Goal Deviation@0b053dba529c87ee | Instruction Non-compliance@0b053dba529c87ee,Language-only@661d523b36d0a2d4 | Tool Selection Errors@dcd9f5685b16dd5c | Instruction Non-compliance@661d523b36d0a2d4 | Incorrect Problem Identification@661d523b36d0a2d4 | Goal Deviation@661d523b36d0a2d4,Hallucinations@0b053dba529c87ee,Hallucinations@b2d185ace31c2248 | Incorrect Problem Identification@b2d185ace31c2248 | Tool Selection Errors@cd9fea138cdb1748 | Instruction Non-compliance@b2d185ace31c2248 | Poor Information Retrieval@b2d185ace31c2248 | Goal Deviation@cd9fea138cdb1748 | Language-only@cd9fea138cdb1748 | Goal Deviation@0b053dba529c87ee | Language-only@0b053dba529c87ee,"Language-only: ev=Thought: Based on the clues in the task, it appears that on July 15, 2008 Phys.org published an article discussing a wel...; desc=The system hallucinated the reasoning process, claiming to recognize the last word of the name of the test without using... | Goal Deviation: ev=Thought: Based on the clues in the task, it appears that on July 15, 2008 Phys.org publ...","Language-only: ev=""FINAL ANSWER: Bravo"" was provided without any evidence or verification steps, and the preceding thought states that the...; desc=The system hallucinated the answer ""Bravo"" without performing any searches or verifications, presenting a fabricated con... | Tool Selection Errors: ev=The plan text includes ""Use the search_agent to locate and confirm the Phys.org ...","Hallucinations: ev=Thought: Based on the clues in the task, it appears that on July 15, 2008 Phys.org published an article discussing a wel...; desc=The assistant fabricated the content of the Phys.org article and the yield information without any evidence or tool call...","Hallucinations: ev=The LLM output 'Bravo' as the final answer without any evidence or tool usage.; desc=The system hallucinated the answer ""Bravo"" without verifying the explosive force or matching it to a US nuclear test. | Incorrect Problem Identification: ev=The system assumed the catastrophe had a 15 megaton yield and matched it to Castle Bravo, without identifying the actua...",Goal Deviation|Instruction Non-compliance|Language-only,Goal Deviation|Incorrect Problem Identification|Instruction Non-compliance|Language-only|Tool Selection Errors,Language-only,Goal Deviation|Incorrect Problem Identification|Instruction Non-compliance|Language-only|Poor Information Retrieval|Tool Selection Errors,Goal Deviation|Instruction Non-compliance|Language-only,Incorrect Problem Identification|Tool Selection Errors,,Language-only,,Goal Deviation|Instruction Non-compliance,Goal Deviation|Instruction Non-compliance|Language-only,Incorrect Problem Identification|Poor Information Retrieval|Tool Selection Errors,,"\nOn July 15, 2008, Phys.org published an article about a catastrophe. Find the explosive force of this catastrophe according to Encyclopedia Britannica, then find the name of the US nuclear test that had the same yield. Your answer should only be the last wor",corr-added-gain,over-propagation-fp-chain|dependency-chain-recovery,Correlation adds correct compliance tags but increases false positives across retrieval and tool-selection steps.,unknown,medium,medium,"Corr adds Goal Deviation and Instruction Non-compliance TP beyond causal, but also adds FP: incorrect problem ID, poor retrieval, tool selection errors.",gpt-5.2:main
3,4a8d094e92433f1ba1da21f602c417d9,GAIA_dedup,openai-gpt-oss-20b,working,corr-added-gain,corr score > causal score,corr-added-gain,1.0277777777777777,1.2777777777777777,0.19444444444444442,0.5,0.3333333333333333,0.4444444444444444,0.5,0.3333333333333333,Task Orchestration@f0b66c0a0eca729d | Tool-related@0cb4d8f8523e3bd3 | Goal Deviation@0cb4d8f8523e3bd3,Language-only@18ddc697d4670297 | Tool Selection Errors@b68066469807ba3d | Poor Information Retrieval@b68066469807ba3d | Instruction Non-compliance@18ddc697d4670297,Hallucinations@18ddc697d4670297 | Instruction Non-compliance@b68066469807ba3d | Incorrect Problem Identification@b68066469807ba3d | Tool Selection Errors@b68066469807ba3d | Goal Deviation@b68066469807ba3d,Tool Selection Errors@f0b66c0a0eca729d | Poor Information Retrieval@f0b66c0a0eca729d | Hallucinations@18ddc697d4670297 | Goal Deviation@18ddc697d4670297 | Language-only@f0b66c0a0eca729d | Task Orchestration@f0b66c0a0eca729d,"Task Orchestration: ev=Output: Thought: I will ask our search_agent to locate the specific 2012 Scientific Reports conference proceedings artic...; desc=The model claims that it uses the search_agent tool, but it didn;t actually ever call the search agent. Instead, it uses... | Tool-related: ev=Thought: I will now provide the final answer. Based on the verification and careful ...","Language-only: ev=""FINAL ANSWER: diamond""; desc=The system provided the answer ""diamond"" without any evidence of searching or verifying the information. No search resul... | Tool Selection Errors: ev=```py print(task_text) # Calling the search_agent as a team member with the above detailed task: # (In our simulation, t...; desc=The agent attempted to use the search_agent but in...","Hallucinations: ev=""FINAL ANSWER: diamond""; desc=The system provided the compound name 'diamond' as the final answer without any evidence of searching, retrieving, or ve... | Instruction Non-compliance: ev=The step output simply ""diamond"" with no calls to the search_agent or any tool that could retrieve or verify the article...; desc=The task explicitly required searching the w...","Tool Selection Errors: ev=Calling tools: [{'id': 'call_2', 'type': 'function', 'function': {'name': 'python_interpreter', 'arguments': 'task_text ...; desc=The agent incorrectly invoked the python_interpreter tool to print the task text instead of calling the designated searc... | Poor Information Retrieval: ev=Observation: Execution logs: Please help me locate the specific art...",Goal Deviation|Task Orchestration|Tool-related,Instruction Non-compliance|Language-only|Poor Information Retrieval|Tool Selection Errors,Goal Deviation|Incorrect Problem Identification|Instruction Non-compliance|Language-only|Tool Selection Errors,Goal Deviation|Language-only|Poor Information Retrieval|Task Orchestration|Tool Selection Errors,,Instruction Non-compliance|Language-only|Poor Information Retrieval|Tool Selection Errors,Goal Deviation|Task Orchestration|Tool-related,Goal Deviation,Incorrect Problem Identification|Instruction Non-compliance|Language-only|Tool Selection Errors,Task Orchestration|Tool-related,Goal Deviation|Task Orchestration,Language-only|Poor Information Retrieval|Tool Selection Errors,Tool-related,"\nIn Nature journal's Scientific Reports conference proceedings from 2012, in the article that did not mention plasmons or plasmonics, what nano-compound is studied? Don't use the prefix nano in your answer if there is one."", ""stream"": false, ""reset"": true, ""i",corr-added-gain,dependency-chain-recovery|precision-preserving-correction,Correlation adds Task Orchestration and drops incorrect problem ID vs causal; still misses Tool-related.,beneficial,medium,medium,corr_tp includes Goal Deviation and Task Orchestration; corr_fn only Tool-related. Causal adds spurious Incorrect Problem Identification and misses Task Orchestration/Tool-related.,gpt-5.2:main
4,0ebe673d64647ec44c370638b82d3c78,GAIA_dedup,openai-gpt-oss-20b,working,corr-added-gain,corr score > causal score,corr-added-gain,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Instruction Non-compliance@29f141a7c2556206,-,-,Instruction Non-compliance@a8b04c65d3a15955,"Instruction Non-compliance: ev=The output concludes with `4. Conclude that the correct answer is ""right,"" and prepare to submit it as the final answer....; desc=The system failed to include the required `<end_plan>` tag at the end of its generated plan as specified in the prompt.",-,-,"Instruction Non-compliance: ev=The span content shows the system’s plan and final answer but contains no mention of any verification steps, despite the...; desc=The system failed to follow the explicit instruction to run verification steps if needed, thereby not fully complying wi...",Instruction Non-compliance,,,Instruction Non-compliance,,,Instruction Non-compliance,,,Instruction Non-compliance,Instruction Non-compliance,,,"\n.rewsna eht sa \""tfel\"" drow eht fo etisoppo eht etirw ,ecnetnes siht dnatsrednu uoy fI"", ""stream"": false, ""reset"": true, ""images"": null, ""additional_args"": null, ""max_steps"": null}",corr-added-gain,already-solved-no-graph-needed,Both causal and correlation match base; no localization or joint effect observed.,neutral,low,high,"All methods yield Instruction Non-compliance; deltas show corr_vs_causal=1.0 and wf1_vs_causal=1.0 with loc/joint=0.0, indicating no graph benefit.",gpt-5.2:main
5,3215fc75e81bdb73706a4fb37b66427f,GAIA_dedup,openai-gpt-oss-20b,working,corr-added-gain,corr score > causal score,corr-added-gain,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Task Orchestration@fdca808d8e936b13,-,-,Tool Definition Issues@860b588ccce335ac | Tool Definition Issues@fdca808d8e936b13 | Tool-related hallucination@860b588ccce335ac | Tool-related hallucination@fdca808d8e936b13 | Tool Selection Errors@fdca808d8e936b13,"Task Orchestration: ev=The plan in Span 5 lists steps 1-6. Step 1 is web_search. Steps 2-5 involve file retrieval and inspection. Span 8 shows ...; desc=The 'search_agent' skipped steps 2 through 5 of its own plan. Its plan involved retrieving the file, reading its content...",-,-,"Tool Definition Issues: ev=The system attempted to call a tool named SearchInformationTool, which is not defined in the tool list.; desc=The system attempted to call a tool that was not defined in the tool list, leading to a tool definition error. | Tool Definition Issues: ev=The system attempted to call a tool named python_interpreter, which is not defined in the tool list.; d...",Task Orchestration,,,Tool Definition Issues|Tool Selection Errors|Tool-related,,,Task Orchestration,,,Task Orchestration,,Tool Definition Issues|Tool Selection Errors|Tool-related,Task Orchestration,"\nWhat was the volume in m^3 of the fish bag that was calculated in the University of Leicester paper \""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?\"""", ""stream"": false, ""reset"": true, ""images"": null, ""additional_args"": null, ""max_steps"": null}",corr-added-gain,spurious-correlation-trigger|localization-drift,Correlation graph shifts blame to tool-related issues instead of task orchestration.,harmful,medium,high,"Gold/base/causal indicate Task Orchestration FN. Corr labels TP as tool definition/selection/tool-related and misses Task Orchestration, matching corr_vs_causal=1.0.",gpt-5.2:main
6,3637c5845140adbf29c565923c20e94d,GAIA_dedup,openai-gpt-oss-20b,working,corr-added-gain,corr score > causal score,corr-added-gain,0.9166666666666667,0.8055555555555556,-0.08333333333333331,1.0,0.0,-0.19444444444444442,1.0,0.0,Tool Selection Errors@384d9115775696f0 | Task Orchestration@384d9115775696f0 | Tool-related@384d9115775696f0 | Goal Deviation@384d9115775696f0,Language-only@0e8211ba74a852e0 | Poor Information Retrieval@0e8211ba74a852e0 | Tool Selection Errors@c5b3253b29fc840e | Instruction Non-compliance@0e8211ba74a852e0 | Goal Deviation@0e8211ba74a852e0,Language-only@0e8211ba74a852e0 | Tool selection errors@82218ffab63e8d9a,Tool Selection Errors@a4d7a8f6098071b6 | Poor Information Retrieval@384d9115775696f0 | Instruction Non-compliance@a4d7a8f6098071b6 | Language-only@a4d7a8f6098071b6,"Tool Selection Errors: ev=1. Identify and retrieve reliable sources (e.g., from Wikipedia or official highway data) to determine the official mile...; desc=The system said to determine the answer by “reverse‐engineering” the trip as described by finding the two segment distan... | Task Orchestration: ev=1. Identify and retrieve reliable sources (e.g., from Wikipedia or official...",Language-only: ev=Segment distances: 2100 and 850 Total distance: 2950 Rounded distance: 3000 Total bottles consumed: 150 Dollar refund: 7...; desc=The system fabricated the segment distances (2100 and 850 miles) and the deposit value ($0.05 per bottle) without verify... | Poor Information Retrieval: ev=Segment distances: 2100 and 850 Total distance: 2950 Rounded distance: 3000...,"Language-only: ev=Execution logs: Segment distances: 2100 and 850  Total distance: 2950 Rounded distance: 3000 Total bottles consumed: 150...; desc=The assistant fabricated the segment distances (2100 miles on I‑40, 850 miles on I‑90) and the container deposit value (... | Tool selection errors: ev=Plan: 1. Identify and retrieve reliable sources (e.g., from Wikipedia or officia...","Tool Selection Errors: ev=""Look up the dollar refund per 12‑ounce water bottle recycling value on Wikipedia"" is mentioned in the plan, yet no call...; desc=The agent failed to use the available search_agent tool to retrieve the required distances and deposit value, relying in... | Poor Information Retrieval: ev=The code executed by the agent contains the hard‑coded values `dist...",Goal Deviation|Task Orchestration|Tool Selection Errors|Tool-related,Goal Deviation|Instruction Non-compliance|Language-only|Poor Information Retrieval|Tool Selection Errors,Language-only|Tool Selection Errors,Instruction Non-compliance|Language-only|Poor Information Retrieval|Tool Selection Errors,Goal Deviation|Tool Selection Errors,Instruction Non-compliance|Language-only|Poor Information Retrieval,Task Orchestration|Tool-related,Tool Selection Errors,Language-only,Goal Deviation|Task Orchestration|Tool-related,Tool Selection Errors,Instruction Non-compliance|Language-only|Poor Information Retrieval,Goal Deviation|Task Orchestration|Tool-related,"\nIt's May 2023, and I'm about to drive across the U.S. from California to Maine. I always recycle my water bottles at the end of a trip, and I drink 5 12-ounce water bottles for every 100 miles I travel, rounded to the nearest 100. Assuming I follow I-40 from",corr-added-gain,missing-context-recovery|dependency-chain-recovery|shared-upstream-miss,Correlation matches causal despite missing orchestration/tool context; shared upstream omission leaves key goal/tool-related labels unpredicted.,beneficial,medium,medium,corr_vs_causal very high (0.92) and joint equals causal; both corr and causal only hit Tool Selection Errors and miss Goal Deviation/Task Orchestration/Tool-related.,gpt-5.2:main
7,72877db591837666d500b459fb3cf29d,GAIA_dedup,openai-gpt-oss-20b,working,corr-added-gain,corr score > causal score,corr-added-gain,0.8999999999999999,1.4,0.4,0.0,0.5,0.4,0.5,0.5,Instruction Non-compliance@70afe7d67e616517 | Instruction Non-compliance@c55bde4ec0025189,-,Tool Selection Errors@70afe7d67e616517,Tool Selection Errors@c55bde4ec0025189 | Formatting Errors@c55bde4ec0025189 | Instruction Non-compliance@c55bde4ec0025189 | Goal Deviation@c55bde4ec0025189,"Instruction Non-compliance: ev=Provide the final decrypted message as the correct answer using the final answer tool.; desc=The system failed to include the required '<end_plan>' tag after completing the high-level plan, as specified in the ins... | Instruction Non-compliance: ev=FINAL ANSWER: picnic is in polybius plaza.; desc=The system included a period at the end of the fin...",-,"Tool Selection Errors: ev=Calling tools: [{""id"": ""call_2"", ""type"": ""function"", ""function"": {""name"": ""python_interpreter"", ""arguments"": ""# Applying...; desc=The LLM invoked a tool named 'python_interpreter', which is not defined in the system's available tools. Only the tools ...","Tool Selection Errors: ev=Calling tools: [{'id': 'call_2', 'type': 'function', 'function': {'name': 'python_interpreter', 'arguments': '# Applying...; desc=The agent attempted to invoke a tool named ""python_interpreter"", which is not defined in the system’s tool set. This con... | Formatting Errors: ev=The LLM output contains a plan and a code snippet but does not include the r...",Instruction Non-compliance,,Tool Selection Errors,Formatting Errors|Goal Deviation|Instruction Non-compliance|Tool Selection Errors,,,Instruction Non-compliance,,Tool Selection Errors,Instruction Non-compliance,Instruction Non-compliance,Formatting Errors|Goal Deviation|Tool Selection Errors,,"\nThis is a secret message my friend gave me. It says where we should meet for our picnic on Friday. The only problem is, it’s encrypted in the Caesar cipher, so I can’t read it. Can you tell me what it says? This is the message:\n\nZsmxsm sc sx Zyvilsec Zvkjk",corr-added-gain,weak-signal-augmentation|over-propagation-fp-chain,Correlation adds correct label but introduces multiple extra false-positive error categories.,harmful,medium,medium,"corr_tp matches gold Instruction Non-compliance, but corr_fp adds Formatting Errors, Goal Deviation, Tool Selection Errors; causal misses gold.",gpt-5.2:main
8,83bce802f0f19098f351cf9dcd6d88e7,SWE_Bench_dedup,openai-gpt-oss-20b,working,corr-added-gain,corr score > causal score,corr-added-gain,0.825,0.38055555555555554,0.6,0.125,0.1,0.15555555555555556,0.125,0.1,Incorrect Problem Identification@d42178f3c67ff112 | Instruction Non-compliance@8a4c11a80e0773de | Resource Abuse@f01bb39f1a218577 | Instruction Non-compliance@5ede1ef28ea5095f | Instruction Non-compliance@af614c35915b66d2 | Instruction Non-compliance@abbdf5c7226bc824 | Instruction Non-compliance@3e556757add2dc8f | Context Handling Failures@28cc0c984596b769 | Goal Deviation@28cc0c984596b769 | Instruction Non-compliance@28cc0c984596b769,Resource Not Found@7f70f0ab20fcbb1d | Formatting Errors@6d3f038717f028c1 | Instruction Non-compliance@6d3f038717f028c1 | Resource Abuse@9ad299c6a34d9449,Service Errors@7f70f0ab20fcbb1d | Formatting Errors@c3e9bb078708f98d,Service Errors@451196ae47abcc9b | Formatting Errors@28cc0c984596b769 | Instruction Non-compliance@28cc0c984596b769 | Incorrect Problem Identification@451196ae47abcc9b | Resource Abuse@28cc0c984596b769,"Incorrect Problem Identification: ev=Thought: The initial search didn't find exactly what we need. Let's try a different approach. Since we're looking for a ...; desc=The model trying to guess to find the ""PersonName3 class"", where he says ""Since we're looking for a PersonName3 class, i... | Instruction Non-compliance: ev=start_of_valuerep = valuerep_content[:1000] if valuerep_...","Resource Not Found: ev=status_message: AgentGenerationError: Error in generating model output: litellm.InternalServerError: AnthropicError - {""...; desc=The system failed to generate a model output due to an internal server error from the LLM, indicating a server-side issu... | Formatting Errors: ev=SyntaxError: Code parsing failed on line 9 due to: SyntaxError final_patch = """"...","Service Errors: ev=The span with ID '7f70f0ab20fcbb1d' reports a status of 'AgentGenerationError: Error in generating model output: litellm...; desc=The Anthropic API returned an overloaded (529) server error, causing the model to fail and generate an AgentGenerationEr... | Formatting Errors: ev=During the execution of a python_interpreter call in span 'c3e9bb078708f98d', the i...","Service Errors: ev=Exception message: ""litellm.InternalServerError: AnthropicError - {\""type\"":\""error\"",\""error\"":{\""type\"":\""overloaded_e...; desc=The agent attempted to call the Anthropic API but received a 529 server error indicating the service was overloaded. Thi... | Formatting Errors: ev=SyntaxError during patch generation: ""Code parsing failed on line 9 due to: SyntaxE...",Context Handling Failures|Goal Deviation|Incorrect Problem Identification|Instruction Non-compliance|Resource Abuse,Formatting Errors|Instruction Non-compliance|Resource Abuse|Resource Not Found,Formatting Errors|Service Errors,Formatting Errors|Incorrect Problem Identification|Instruction Non-compliance|Resource Abuse|Service Errors,Instruction Non-compliance|Resource Abuse,Formatting Errors|Resource Not Found,Context Handling Failures|Goal Deviation|Incorrect Problem Identification,,Formatting Errors|Service Errors,Context Handling Failures|Goal Deviation|Incorrect Problem Identification|Instruction Non-compliance|Resource Abuse,Incorrect Problem Identification|Instruction Non-compliance|Resource Abuse,Formatting Errors|Service Errors,Context Handling Failures|Goal Deviation,"\nMake PersonName3 iterable\n```python\r\nfrom pydicom import Dataset\r\n\r\nds = Dataset()\r\nds.PatientName = 'SomeName'\r\n\r\n'S' in ds.PatientName\r\n```\r\n```\r\nTraceback (most recent call last):\r\n  File \""<stdin>\"", line 1, in <module>\r\nTypeError:",corr-added-gain,missing-context-recovery|precision-preserving-correction|causal-anchor-dominant,Correlation recovers key error categories while causal misses them; correction focuses on core TypeError cause.,beneficial,high,medium,"Causal has no TP and adds Service Errors FP; correlation matches Incorrect Problem Identification, Instruction Non-compliance, Resource Abuse, reducing key misses vs gold.",gpt-5.2:main
9,e7bdf7bbf6b931c3be95afe323704041,SWE_Bench_dedup,openai-gpt-oss-20b,working,corr-added-gain,corr score > causal score,corr-added-gain,0.7936507936507936,0.5714285714285714,0.5,0.2222222222222222,0.07142857142857142,0.2777777777777778,0.2222222222222222,0.07142857142857142,Instruction Non-compliance@Span ID not found for this shard | Formatting Errors@f8cc9cc0836c0492 | Instruction Non-compliance@f8cc9cc0836c0492 | Context Handling Failures@f3837fe40fed7234 | Resource Abuse@f8cc9cc0836c0492 | Language-only@5f99f1365e6ab44e | Incorrect Problem Identification@5f99f1365e6ab44e | Instruction Non-compliance@f04b98114a15f034 | Instruction Non-compliance@c355de40aa8c0d0c | Task Orchestration@7d962fb946a6d021 | Formatting Errors@11a92edfe0578cd3 | Task Orchestration@11a92edfe0578cd3 | Resource Abuse@11a92edfe0578cd3 | Formatting Errors@a5e2a24574bf43ef,Tool Output Misinterpretation@5d6bda840e349270 | Context Handling Failures@8c3f23579304c78d,Tool Selection Errors@5d6bda840e349270,Tool Selection Errors@f8cc9cc0836c0492 | Tool Output Misinterpretation@f8cc9cc0836c0492 | Resource Abuse@e62807f03e02c283 | Formatting Errors@f04b98114a15f034 | Instruction Non-compliance@f04b98114a15f034,"Instruction Non-compliance: ev=# Print the repository summary to understand what we're working with print(""Repository Summary:"") print(summary[:1000]) ...; desc=To analyze a file's string contents should be in 500 characters at a time, which this one of the instructions. However, ... | Formatting Errors: ev=Repository Structure: D i r e c t o r y  s t r u c t u r e :; desc=The ...","Tool Output Misinterpretation: ev=Execution logs: Code execution failed at line 'term3 = 1 + np.sqrt(HB / ghi) * (tools.sind(0.5 * surface_tilt) ** 3)' du...; desc=The agent executed Python code that used the numpy library without importing it, leading to an interpreter error. This i... | Context Handling Failures: ev=Execution logs: Repository Structure: <class 'str'> 8968 Tre...",Tool Selection Errors: ev=Execution logs: AgentExecutionError: Code execution failed at line 'term3 = 1 + np.sqrt(HB / ghi) * (tools.sind(0.5 * su...; desc=The agent used the `python_interpreter` tool to execute code that referenced `np` without importing it. This indicates a...,"Tool Selection Errors: ev=The tool call to python_interpreter failed with ""InterpreterError: The variable `np` is not defined.""; desc=The agent invoked the python_interpreter tool but did not import the numpy module, leading to a runtime error. | Tool Output Misinterpretation: ev=The agent proceeded to use `np.sqrt` without verifying that `np` was defined, assuming the tool out...",Context Handling Failures|Formatting Errors|Incorrect Problem Identification|Instruction Non-compliance|Language-only|Resource Abuse|Task Orchestration,Context Handling Failures|Tool Output Misinterpretation,Tool Selection Errors,Formatting Errors|Instruction Non-compliance|Resource Abuse|Tool Output Misinterpretation|Tool Selection Errors,Context Handling Failures,Tool Output Misinterpretation,Formatting Errors|Incorrect Problem Identification|Instruction Non-compliance|Language-only|Resource Abuse|Task Orchestration,,Tool Selection Errors,Context Handling Failures|Formatting Errors|Incorrect Problem Identification|Instruction Non-compliance|Language-only|Resource Abuse|Task Orchestration,Formatting Errors|Instruction Non-compliance|Resource Abuse,Tool Output Misinterpretation|Tool Selection Errors,Context Handling Failures|Incorrect Problem Identification|Language-only|Task Orchestration,"\npvlib.irradiance.reindl() model generates NaNs when GHI = 0\n**Describe the bug**\r\nThe reindl function should give zero sky diffuse when GHI is zero. Instead it generates NaN or Inf values due to \""term3\"" having a quotient that divides by GHI.  \r\n\r\n**",corr-added-gain,precision-preserving-correction|localization-drift|over-propagation-fp-chain,Correction improves formatting/compliance labels but misses core context-handling; adds tool-related false positives.,harmful,medium,medium,"corr_tp hits Formatting/Instruction/Resource Abuse, but corr_fn misses Context Handling and others; corr_fp adds Tool Selection/Output errors. joint_vs_causal very low (0.071), loc_vs_causal low.",gpt-5.2:main
10,b7f8fcd484777f9d330f24a2ff30dd25,GAIA_dedup,openai-gpt-oss-20b,not_working,corr-induced-harm,corr score < causal score,corr-induced-harm,-2.0,1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,Instruction Non-compliance@8e0a6ca8454533f4,-,Instruction Non-compliance@8e0a6ca8454533f4,Instruction Non-compliance@09962c674af138f5,"Instruction Non-compliance: ev=The output ends with a blank line after step 6, rather than including the `<end_plan>` tag specified in the input instru...; desc=The system failed to end the high-level plan with the required `<end_plan>` tag after the final step, instead ending wit...",-,"Instruction Non-compliance: ev=The plan generated by the LLM ended with step 6 and no '<end_plan>' tag, violating the instruction that the plan must co...; desc=The system failed to follow the instruction to terminate the plan with the '<end_plan>' tag, resulting in an incomplete ...","Instruction Non-compliance: ev=System instruction: ""You are an expert assistant who can solve any task using code blobs."" The agent did not use any cod...; desc=The agent failed to comply with the system instruction to solve the task using code blobs, instead directly providing th...",Instruction Non-compliance,,Instruction Non-compliance,Instruction Non-compliance,,,Instruction Non-compliance,Instruction Non-compliance,,,Instruction Non-compliance,,,"\nIn the fictional language of Tizin, basic sentences are arranged with the Verb first, followed by the direct object, followed by the subject of the sentence. I want to express my love for apples to my Tizin friend. \n\nThe word that indicates oneself is \""Pa",corr-induced-harm,already-solved-no-graph-needed,Both causal and corr match gold; graph variants degrade without changing correctness.,neutral,low,high,"Gold and corr/causal TP are Instruction Non-compliance; no FP/FN. Corr/joint/loc deltas negative vs causal, suggesting unnecessary graph use slightly harms scores.",gpt-5.2:main
