field,taxonomy_l2,count
corr_leaf_categories,Output Generation,28
gold_leaf_categories,Output Generation,24
corr_leaf_categories,Decision Making,22
gold_leaf_categories,Task Management,21
baseline_leaf_categories,Output Generation,20
baseline_leaf_categories,Decision Making,19
causal_leaf_categories,Hallucinations,19
corr_leaf_categories,Task Management,18
causal_leaf_categories,Decision Making,17
causal_leaf_categories,Output Generation,17
corr_leaf_categories,Hallucinations,15
gold_leaf_categories,Hallucinations,14
baseline_leaf_categories,Task Management,13
baseline_leaf_categories,Hallucinations,12
corr_leaf_categories,Information Processing,12
causal_leaf_categories,Task Management,10
baseline_leaf_categories,Information Processing,9
gold_leaf_categories,Decision Making,9
causal_leaf_categories,Information Processing,9
gold_leaf_categories,Context Management,6
corr_leaf_categories,Context Management,3
gold_leaf_categories,Information Processing,3
corr_leaf_categories,Configuration,2
baseline_leaf_categories,Context Management,2
baseline_leaf_categories,API Issues,2
causal_leaf_categories,API Issues,2
corr_leaf_categories,API Issues,2
baseline_leaf_categories,Configuration,2
