field,leaf_category,count
corr_leaf_categories,Tool Selection Errors,19
gold_leaf_categories,Instruction Non-compliance,17
baseline_leaf_categories,Instruction Non-compliance,17
baseline_leaf_categories,Tool Selection Errors,17
causal_leaf_categories,Tool Selection Errors,16
corr_leaf_categories,Instruction Non-compliance,16
gold_leaf_categories,Goal Deviation,15
causal_leaf_categories,Language-only,12
corr_leaf_categories,Language-only,12
corr_leaf_categories,Formatting Errors,12
baseline_leaf_categories,Language-only,11
corr_leaf_categories,Goal Deviation,11
gold_leaf_categories,Tool-related,9
baseline_leaf_categories,Goal Deviation,9
causal_leaf_categories,Goal Deviation,9
corr_leaf_categories,Poor Information Retrieval,9
causal_leaf_categories,Instruction Non-compliance,9
causal_leaf_categories,Formatting Errors,8
causal_leaf_categories,Poor Information Retrieval,8
baseline_leaf_categories,Poor Information Retrieval,7
corr_leaf_categories,Task Orchestration,7
gold_leaf_categories,Tool Selection Errors,7
gold_leaf_categories,Formatting Errors,7
causal_leaf_categories,Tool-related,7
gold_leaf_categories,Task Orchestration,6
gold_leaf_categories,Language-only,5
baseline_leaf_categories,Task Orchestration,4
gold_leaf_categories,Context Handling Failures,4
corr_leaf_categories,Incorrect Problem Identification,3
corr_leaf_categories,Tool-related,3
baseline_leaf_categories,Formatting Errors,3
corr_leaf_categories,Tool Output Misinterpretation,3
gold_leaf_categories,Poor Information Retrieval,3
baseline_leaf_categories,Incorrect Problem Identification,2
corr_leaf_categories,Tool Definition Issues,2
gold_leaf_categories,Incorrect Problem Identification,2
gold_leaf_categories,Resource Abuse,2
causal_leaf_categories,Service Errors,2
corr_leaf_categories,Resource Abuse,2
corr_leaf_categories,Service Errors,2
baseline_leaf_categories,Tool Output Misinterpretation,2
baseline_leaf_categories,Tool Definition Issues,2
causal_leaf_categories,Incorrect Problem Identification,1
baseline_leaf_categories,Resource Abuse,1
baseline_leaf_categories,Resource Not Found,1
baseline_leaf_categories,Context Handling Failures,1
corr_leaf_categories,Context Handling Failures,1
baseline_leaf_categories,Service Errors,1
causal_leaf_categories,Tool Output Misinterpretation,1
causal_leaf_categories,Task Orchestration,1
baseline_leaf_categories,Tool-related,1
