category_as_annotated,count,status,corrects_to
Formatting Errors,124,canonical,
Instruction Non-compliance,65,canonical,
Goal Deviation,62,canonical,
Tool-related,47,canonical,
Tool Selection Errors,44,canonical,
Task Orchestration,43,canonical,
Language-only,41,canonical,
Resource Abuse,39,canonical,
Poor Information Retrieval,28,canonical,
Context Handling Failures,19,canonical,
Incorrect Problem Identification,18,canonical,
Tool Output Misinterpretation,16,canonical,
Environment Setup Errors,9,canonical,
Resource Not Found,7,canonical,
Context Handling Failure,5,typo / variant,Context Handling Failures
Authentication Errors,5,canonical,
Tool Definition Issues,3,canonical,
Service Errors,2,canonical,
Timeout Issues,2,canonical,
Resource Exhaustion,2,canonical,
 Incorrect Problem Identification,1,leading/trailing space,Incorrect Problem Identification
Tool Selection,1,typo / variant,Tool Selection Errors
Goal deviation,1,typo / variant,Goal Deviation
Task Orchestration Errors,1,typo / variant,Task Orchestration
