category_as_annotated,count,status,corrects_to
Instruction Non-compliance,88,canonical,
Formatting Errors,72,canonical,
Context Handling Failures,23,canonical,
Resource Abuse,18,canonical,
Poor Information Retrieval,12,canonical,
Incorrect Problem Identification,9,canonical,
Language-only,9,canonical,
Tool-related,6,canonical,
Language-Only,3,typo / variant,Language-only
Task Orchestration,3,canonical,
Incorrect Memory Usage,2,canonical,
Instruction Non-Compliance,2,typo / variant,Instruction Non-compliance
Goal Deviation,2,canonical,
Resource Exhaustion,1,canonical,
Tool Output Misinterpretation,1,canonical,
Task Orchestration Error,1,typo / variant,Task Orchestration
Formatting Error,1,typo / variant,Formatting Errors
Poor Information retrieval,1,typo / variant,Poor Information Retrieval
Instruction non complience,1,typo / variant,Instruction Non-compliance
Task Orchestration Errors,1,typo / variant,Task Orchestration
