Weighted F1: 0.3084
Average Location Accuracy: 0.3163
Average Location-Category Joint Accuracy: 0.0364

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.2726          0.1449 30        
security                              nan             nan 30        
instruction_adherence              0.1450          0.4446 30        
plan_optimization                  0.3350          0.0704 30        
overall                            0.2677          0.1526 30        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4286     0.2143     0.2857     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.2759     0.7273     0.4000     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0345     1.0000     0.0667     1         
Incorrect Problem Identification         0.2941     0.5556     0.3846     9         
Formatting Errors                        0.8800     0.6111     0.7213     36        
Instruction Non-compliance               0.8889     0.2353     0.3721     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.5000     0.0312     0.0588     32        
Resource Abuse                           0.0000     0.0000     0.0000     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
