Weighted F1: 0.2018
Average Location Accuracy: 0.2226
Average Location-Category Joint Accuracy: 0.0097

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.1560          0.0945 116       
security                              nan             nan 116       
instruction_adherence              0.0310          0.7411 116       
plan_optimization                  0.3251          0.0004 116       
overall                            0.1720          0.0648 116       

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     42        
Tool-related                             0.0000     0.0000     0.0000     37        
Poor Information Retrieval               0.6471     0.5000     0.5641     22        
Tool Output Misinterpretation            0.1509     0.4706     0.2286     17        
Incorrect Problem Identification         0.0000     0.0000     0.0000     20        
Tool Selection Errors                    0.2800     0.1750     0.2154     40        
Formatting Errors                        0.0000     0.0000     0.0000     52        
Instruction Non-compliance               0.5000     0.5818     0.5378     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.5484     0.5667     0.5574     30        
Goal Deviation                           1.0000     0.1791     0.3038     67        
Task Orchestration                       0.2308     0.0769     0.1154     39        
