Weighted F1: 0.1290
Average Location Accuracy: 0.0641
Average Location-Category Joint Accuracy: 0.0025

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5055          0.0044 30        
security                              nan             nan 30        
instruction_adherence              0.3609          0.0501 30        
plan_optimization                  0.6181          0.0003 30        
overall                            0.6602          0.0001 30        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.5000     0.2727     0.3529     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0357     1.0000     0.0690     1         
Incorrect Problem Identification         0.5000     0.1111     0.1818     9         
Formatting Errors                        0.7143     0.2778     0.4000     36        
Instruction Non-compliance               1.0000     0.0294     0.0571     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     32        
Resource Abuse                           0.0000     0.0000     0.0000     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
