Weighted F1: 0.2243
Average Location Accuracy: 0.4556
Average Location-Category Joint Accuracy: 0.0194

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3855          0.0000 114       
security                              nan             nan 114       
instruction_adherence              0.1259          0.1821 114       
plan_optimization                  0.3576          0.0001 114       
overall                            0.3372          0.0002 114       

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     42        
Tool-related                             0.0000     0.0000     0.0000     37        
Poor Information Retrieval               0.5455     0.5455     0.5455     22        
Tool Output Misinterpretation            0.1667     0.1765     0.1714     17        
Incorrect Problem Identification         0.1364     0.1500     0.1429     20        
Tool Selection Errors                    0.2200     0.2750     0.2444     40        
Formatting Errors                        0.7500     0.2308     0.3529     52        
Instruction Non-compliance               0.3538     0.4182     0.3833     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    1.0000     0.1667     0.2857     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.2500     0.0370     0.0645     27        
Resource Abuse                           1.0000     0.0667     0.1250     30        
Goal Deviation                           0.4821     0.4030     0.4390     67        
Task Orchestration                       0.2000     0.0513     0.0816     39        
