Weighted F1: 0.1910
Average Location Accuracy: 0.0535
Average Location-Category Joint Accuracy: 0.0056

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                       -0.0132          0.9438 31        
security                              nan             nan 31        
instruction_adherence             -0.0723          0.6992 31        
plan_optimization                 -0.0675          0.7181 31        
overall                           -0.0821          0.6606 31        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            1.0000     0.0714     0.1333     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.2857     0.5455     0.3750     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0455     1.0000     0.0870     1         
Incorrect Problem Identification         0.2857     0.2222     0.2500     9         
Formatting Errors                        0.8824     0.4167     0.5660     36        
Instruction Non-compliance               0.0000     0.0000     0.0000     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                1.0000     0.0625     0.1176     32        
Resource Abuse                           0.0000     0.0000     0.0000     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
