Weighted F1: 0.1388
Average Location Accuracy: 0.2372
Average Location-Category Joint Accuracy: 0.0359

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4218          0.0000 88        
security                              nan             nan 88        
instruction_adherence              0.1186          0.2709 88        
plan_optimization                  0.2828          0.0076 88        
overall                            0.2714          0.0105 88        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5385     0.3333     0.4118     42        
Tool-related                             0.1429     0.0270     0.0455     37        
Poor Information Retrieval               0.1333     0.1818     0.1538     22        
Tool Output Misinterpretation            0.2353     0.2353     0.2353     17        
Incorrect Problem Identification         0.1429     0.0500     0.0741     20        
Tool Selection Errors                    0.3333     0.1750     0.2295     40        
Formatting Errors                        0.3333     0.0192     0.0364     52        
Instruction Non-compliance               0.3529     0.1091     0.1667     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.5000     0.1667     0.2500     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.2727     0.7500     0.4000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.0000     0.0000     0.0000     30        
Goal Deviation                           0.5714     0.1194     0.1975     67        
Task Orchestration                       0.1250     0.0256     0.0426     39        
