Weighted F1: 0.1710
Average Location Accuracy: 0.1842
Average Location-Category Joint Accuracy: 0.0298

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3178          0.0553 37        
security                              nan             nan 37        
instruction_adherence             -0.0950          0.5758 37        
plan_optimization                  0.3943          0.0157 37        
overall                            0.2876          0.0843 37        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.3889     0.1667     0.2333     42        
Tool-related                             0.5000     0.2703     0.3509     37        
Poor Information Retrieval               0.3478     0.3636     0.3556     22        
Tool Output Misinterpretation            0.0870     0.1176     0.1000     17        
Incorrect Problem Identification         0.2857     0.1000     0.1481     20        
Tool Selection Errors                    0.3333     0.2000     0.2500     40        
Formatting Errors                        0.4000     0.0385     0.0702     52        
Instruction Non-compliance               0.2917     0.1273     0.1772     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.3333     0.1111     0.1667     9         
Authentication Errors                    0.5000     0.3333     0.4000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1111     0.2500     0.1538     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.3750     0.1111     0.1714     27        
Resource Abuse                           0.7500     0.1000     0.1765     30        
Goal Deviation                           0.3571     0.0746     0.1235     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
