Weighted F1: 0.2636
Average Location Accuracy: 0.4338
Average Location-Category Joint Accuracy: 0.0516

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3801          0.0000 113       
security                              nan             nan 113       
instruction_adherence              0.1606          0.0892 113       
plan_optimization                  0.2454          0.0088 113       
overall                            0.2963          0.0014 113       

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.2381     0.1190     0.1587     42        
Tool-related                             0.3810     0.4324     0.4051     37        
Poor Information Retrieval               0.2533     0.8636     0.3918     22        
Tool Output Misinterpretation            0.1212     0.7059     0.2069     17        
Incorrect Problem Identification         0.1204     0.6500     0.2031     20        
Tool Selection Errors                    0.2419     0.3750     0.2941     40        
Formatting Errors                        0.4118     0.1346     0.2029     52        
Instruction Non-compliance               0.3462     0.3273     0.3364     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.6667     0.3333     0.4444     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.3333     0.5000     0.4000     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.4000     0.0741     0.1250     27        
Resource Abuse                           0.0000     0.0000     0.0000     30        
Goal Deviation                           0.5254     0.4627     0.4921     67        
Task Orchestration                       0.3333     0.0769     0.1250     39        
