Weighted F1: 0.2481
Average Location Accuracy: 0.0678
Average Location-Category Joint Accuracy: 0.0058

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4426          0.0236 26        
security                              nan             nan 26        
instruction_adherence              0.2497          0.2186 26        
plan_optimization                  0.3359          0.0934 26        
overall                            0.3634          0.0680 26        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.3333     0.0909     0.1429     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0400     1.0000     0.0769     1         
Incorrect Problem Identification         0.2174     0.5556     0.3125     9         
Formatting Errors                        0.8235     0.3889     0.5283     36        
Instruction Non-compliance               1.0000     0.0294     0.0571     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.9167     0.3438     0.5000     32        
Resource Abuse                           0.0000     0.0000     0.0000     17        
Goal Deviation                           0.2000     0.3333     0.2500     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
