Weighted F1: 0.1230
Average Location Accuracy: 0.1129
Average Location-Category Joint Accuracy: 0.0090

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                       -1.0000          0.0000 3         
security                              nan             nan 3         
instruction_adherence             -0.5000          0.6667 3         
plan_optimization                 -0.5000          0.6667 3         
overall                           -1.0000          0.0000 3         

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.1818     0.0476     0.0755     42        
Tool-related                             0.2222     0.0541     0.0870     37        
Poor Information Retrieval               0.4762     0.9091     0.6250     22        
Tool Output Misinterpretation            0.0769     0.0588     0.0667     17        
Incorrect Problem Identification         0.0000     0.0000     0.0000     20        
Tool Selection Errors                    0.1600     0.1000     0.1231     40        
Formatting Errors                        0.3000     0.0577     0.0968     52        
Instruction Non-compliance               0.3158     0.1091     0.1622     55        
Tool Definition Issues                   0.1333     0.6667     0.2222     3         
Environment Setup Errors                 0.3750     0.3333     0.3529     9         
Authentication Errors                    0.7500     0.5000     0.6000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1429     0.5000     0.2222     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.1667     0.0741     0.1026     27        
Resource Abuse                           0.3333     0.0333     0.0606     30        
Goal Deviation                           0.5000     0.0448     0.0822     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
