Weighted F1: 0.2328
Average Location Accuracy: 0.1563
Average Location-Category Joint Accuracy: 0.0171

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4735          0.0082 30        
security                              nan             nan 30        
instruction_adherence              0.0333          0.8612 30        
plan_optimization                  0.4599          0.0106 30        
overall                            0.3426          0.0638 30        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.5000     0.2500     0.3333     4         
Poor Information Retrieval               0.7143     0.4545     0.5556     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0345     1.0000     0.0667     1         
Incorrect Problem Identification         0.1852     0.5556     0.2778     9         
Formatting Errors                        1.0000     0.2778     0.4348     36        
Instruction Non-compliance               1.0000     0.1471     0.2564     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.6000     0.0938     0.1622     32        
Resource Abuse                           0.0000     0.0000     0.0000     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
