Weighted F1: 0.3008
Average Location Accuracy: 0.3250
Average Location-Category Joint Accuracy: 0.0671

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.1585          0.0893 116       
security                              nan             nan 116       
instruction_adherence              0.0393          0.6755 116       
plan_optimization                  0.3169          0.0005 116       
overall                            0.1770          0.0573 116       

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.2500     0.1190     0.1613     42        
Tool-related                             0.3182     0.5676     0.4078     37        
Poor Information Retrieval               0.4146     0.7727     0.5397     22        
Tool Output Misinterpretation            0.1667     0.4118     0.2373     17        
Incorrect Problem Identification         0.1200     0.3000     0.1714     20        
Tool Selection Errors                    0.2609     0.3000     0.2791     40        
Formatting Errors                        0.2500     0.0192     0.0357     52        
Instruction Non-compliance               0.4865     0.6545     0.5581     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.3000     0.1111     0.1622     27        
Resource Abuse                           0.4915     0.9667     0.6517     30        
Goal Deviation                           0.6000     0.4478     0.5128     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
