Weighted F1: 0.2546
Average Location Accuracy: 0.0809
Average Location-Category Joint Accuracy: 0.0013

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5100          0.0034 31        
security                              nan             nan 31        
instruction_adherence              0.3613          0.0459 31        
plan_optimization                  0.6078          0.0003 31        
overall                            0.6609          0.0001 31        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.6667     0.1429     0.2353     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.4286     0.5455     0.4800     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         1.0000     0.1111     0.2000     9         
Formatting Errors                        0.8333     0.5556     0.6667     36        
Instruction Non-compliance               0.0000     0.0000     0.0000     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     32        
Resource Abuse                           0.4400     0.6471     0.5238     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
