Weighted F1: 0.2331
Average Location Accuracy: 0.1868
Average Location-Category Joint Accuracy: 0.0263

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5147          0.0036 30        
security                              nan             nan 30        
instruction_adherence              0.3642          0.0479 30        
plan_optimization                  0.5885          0.0006 30        
overall                            0.6623          0.0001 30        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.1304     0.7500     0.2222     4         
Poor Information Retrieval               0.2778     0.4545     0.3448     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.3636     0.4444     0.4000     9         
Formatting Errors                        0.8095     0.4722     0.5965     36        
Instruction Non-compliance               0.0000     0.0000     0.0000     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                1.0000     0.0312     0.0606     32        
Resource Abuse                           0.5385     0.4118     0.4667     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
