Weighted F1: 0.3311
Average Location Accuracy: 0.3263
Average Location-Category Joint Accuracy: 0.1254

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4144          0.0000 116       
security                              nan             nan 116       
instruction_adherence              0.1790          0.0546 116       
plan_optimization                  0.3869          0.0000 116       
overall                            0.3724          0.0000 116       

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.3725     0.4524     0.4086     42        
Tool-related                             0.3913     0.2432     0.3000     37        
Poor Information Retrieval               0.2558     0.5000     0.3385     22        
Tool Output Misinterpretation            0.1778     0.4706     0.2581     17        
Incorrect Problem Identification         0.2273     0.2500     0.2381     20        
Tool Selection Errors                    0.3585     0.4750     0.4086     40        
Formatting Errors                        0.4286     0.2308     0.3000     52        
Instruction Non-compliance               0.3333     0.0727     0.1194     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    1.0000     0.3333     0.5000     6         
Service Errors                           0.5000     0.5000     0.5000     2         
Resource Not Found                       0.2222     0.5000     0.3077     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           1.0000     0.5000     0.6667     2         
Context Handling Failures                0.2000     0.0370     0.0625     27        
Resource Abuse                           0.5250     0.7000     0.6000     30        
Goal Deviation                           0.6418     0.6418     0.6418     67        
Task Orchestration                       0.5000     0.0513     0.0930     39        
