Weighted F1: 0.4107
Average Location Accuracy: 0.0627
Average Location-Category Joint Accuracy: 0.0135

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.0388          0.8359 31        
security                              nan             nan 31        
instruction_adherence              0.1108          0.5528 31        
plan_optimization                 -0.0023          0.9904 31        
overall                            0.0907          0.6277 31        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            1.0000     0.1429     0.2500     14        
Tool-related                             1.0000     0.2500     0.4000     4         
Poor Information Retrieval               0.2692     0.6364     0.3784     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0455     1.0000     0.0870     1         
Incorrect Problem Identification         0.3846     0.5556     0.4545     9         
Formatting Errors                        0.9130     0.5833     0.7119     36        
Instruction Non-compliance               1.0000     0.1471     0.2564     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.7692     0.3125     0.4444     32        
Resource Abuse                           0.4375     0.4118     0.4242     17        
Goal Deviation                           0.1429     0.3333     0.2000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
