Weighted F1: 0.1371
Average Location Accuracy: 0.1683
Average Location-Category Joint Accuracy: 0.0207

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4136          0.0122 36        
security                              nan             nan 36        
instruction_adherence              0.2013          0.2392 36        
plan_optimization                  0.3298          0.0495 36        
overall                            0.4012          0.0153 36        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     42        
Tool-related                             0.2308     0.0811     0.1200     37        
Poor Information Retrieval               0.4706     0.3636     0.4103     22        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     17        
Incorrect Problem Identification         0.1111     0.1000     0.1053     20        
Tool Selection Errors                    0.2000     0.1250     0.1538     40        
Formatting Errors                        0.5000     0.1923     0.2778     52        
Instruction Non-compliance               0.2400     0.1091     0.1500     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.6667     0.3333     0.4444     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       1.0000     0.2500     0.4000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.0000     0.0000     0.0000     30        
Goal Deviation                           0.5000     0.1642     0.2472     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
