Weighted F1: 0.2383
Average Location Accuracy: 0.1834
Average Location-Category Joint Accuracy: 0.0347

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3581          0.0001 115       
security                              nan             nan 115       
instruction_adherence              0.1151          0.2207 115       
plan_optimization                  0.3541          0.0001 115       
overall                            0.3277          0.0004 115       

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4444     0.3810     0.4103     42        
Tool-related                             0.4167     0.1351     0.2041     37        
Poor Information Retrieval               0.3478     0.3636     0.3556     22        
Tool Output Misinterpretation            0.2800     0.4118     0.3333     17        
Incorrect Problem Identification         0.0000     0.0000     0.0000     20        
Tool Selection Errors                    0.4444     0.3000     0.3582     40        
Formatting Errors                        0.3333     0.1154     0.1714     52        
Instruction Non-compliance               0.3333     0.0182     0.0345     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.6000     0.5000     0.5455     6         
Service Errors                           1.0000     0.5000     0.6667     2         
Resource Not Found                       0.2500     1.0000     0.4000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.4865     0.6000     0.5373     30        
Goal Deviation                           0.7600     0.2836     0.4130     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
