Weighted F1: 0.1744
Average Location Accuracy: 0.0092
Average Location-Category Joint Accuracy: 0.0050

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.0886          0.6670 26        
security                              nan             nan 26        
instruction_adherence             -0.0720          0.7266 26        
plan_optimization                  0.2416          0.2344 26        
overall                            0.1055          0.6078 26        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             1.0000     0.2500     0.4000     4         
Poor Information Retrieval               0.3636     0.3636     0.3636     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.0000     0.0000     0.0000     9         
Formatting Errors                        0.9167     0.3056     0.4583     36        
Instruction Non-compliance               0.0000     0.0000     0.0000     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.5000     0.0312     0.0588     32        
Resource Abuse                           0.5714     0.2353     0.3333     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
