Weighted F1: 0.1590
Average Location Accuracy: 0.3570
Average Location-Category Joint Accuracy: 0.0052

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.2726          0.1449 30        
security                              nan             nan 30        
instruction_adherence              0.1450          0.4446 30        
plan_optimization                  0.3350          0.0704 30        
overall                            0.2677          0.1526 30        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5000     0.0714     0.1250     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.1667     0.0909     0.1176     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.2500     0.1111     0.1538     9         
Formatting Errors                        0.9286     0.3611     0.5200     36        
Instruction Non-compliance               1.0000     0.0294     0.0571     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                1.0000     0.0312     0.0606     32        
Resource Abuse                           0.0000     0.0000     0.0000     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
