Weighted F1: 0.3502
Average Location Accuracy: 0.5928
Average Location-Category Joint Accuracy: 0.1062

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4225          0.0000 113       
security                              nan             nan 113       
instruction_adherence              0.2116          0.0244 113       
plan_optimization                  0.4946          0.0000 113       
overall                            0.4772          0.0000 113       

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     42        
Tool-related                             0.4286     0.0811     0.1364     37        
Poor Information Retrieval               0.3830     0.8182     0.5217     22        
Tool Output Misinterpretation            0.2093     0.5294     0.3000     17        
Incorrect Problem Identification         0.1316     0.5000     0.2083     20        
Tool Selection Errors                    0.2716     0.5500     0.3636     40        
Formatting Errors                        0.5217     0.6923     0.5950     52        
Instruction Non-compliance               0.3958     0.6909     0.5033     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.5000     0.1111     0.1818     9         
Authentication Errors                    0.7500     0.5000     0.6000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.3333     0.5000     0.4000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.3333     0.1852     0.2381     27        
Resource Abuse                           0.8889     0.2667     0.4103     30        
Goal Deviation                           0.5309     0.6418     0.5811     67        
Task Orchestration                       0.2222     0.0513     0.0833     39        
