Weighted F1: 0.2935
Average Location Accuracy: 0.3086
Average Location-Category Joint Accuracy: 0.0593

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3097          0.0009 112       
security                              nan             nan 112       
instruction_adherence              0.1011          0.2887 112       
plan_optimization                  0.2641          0.0049 112       
overall                            0.2644          0.0048 112       

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4107     0.5476     0.4694     42        
Tool-related                             0.0000     0.0000     0.0000     37        
Poor Information Retrieval               0.1852     0.2273     0.2041     22        
Tool Output Misinterpretation            0.1111     0.6471     0.1897     17        
Incorrect Problem Identification         0.1170     0.5500     0.1930     20        
Tool Selection Errors                    0.3390     0.5000     0.4040     40        
Formatting Errors                        0.4000     0.1923     0.2597     52        
Instruction Non-compliance               0.5294     0.4909     0.5094     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    1.0000     0.1667     0.2857     6         
Service Errors                           1.0000     0.5000     0.6667     2         
Resource Not Found                       0.0857     0.7500     0.1538     4         
Resource Exhaustion                      0.3333     1.0000     0.5000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.2059     0.2593     0.2295     27        
Resource Abuse                           0.0588     0.0333     0.0426     30        
Goal Deviation                           0.6207     0.5373     0.5760     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
