Weighted F1: 0.2504
Average Location Accuracy: 0.1691
Average Location-Category Joint Accuracy: 0.0392

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4835          0.0123 26        
security                              nan             nan 26        
instruction_adherence              0.2328          0.2524 26        
plan_optimization                  0.3841          0.0527 26        
overall                            0.4657          0.0165 26        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.2000     0.2500     0.2222     4         
Poor Information Retrieval               0.2857     0.1818     0.2222     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.2174     0.5556     0.3125     9         
Formatting Errors                        0.8519     0.6389     0.7302     36        
Instruction Non-compliance               0.0000     0.0000     0.0000     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.6667     0.0625     0.1143     32        
Resource Abuse                           1.0000     0.2353     0.3810     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
