Weighted F1: 0.3033
Average Location Accuracy: 0.4308
Average Location-Category Joint Accuracy: 0.0730

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3523          0.0003 101       
security                              nan             nan 101       
instruction_adherence              0.1778          0.0752 101       
plan_optimization                  0.3805          0.0001 101       
overall                            0.3530          0.0003 101       

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     42        
Tool-related                             0.3611     0.3514     0.3562     37        
Poor Information Retrieval               0.4211     0.7273     0.5333     22        
Tool Output Misinterpretation            0.1429     0.1765     0.1579     17        
Incorrect Problem Identification         0.1493     0.5000     0.2299     20        
Tool Selection Errors                    0.2698     0.4250     0.3301     40        
Formatting Errors                        0.5625     0.6923     0.6207     52        
Instruction Non-compliance               0.3692     0.4364     0.4000     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.8000     0.6667     0.7273     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.6667     0.5000     0.5714     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.2500     0.0370     0.0645     27        
Resource Abuse                           0.0000     0.0000     0.0000     30        
Goal Deviation                           0.5192     0.4030     0.4538     67        
Task Orchestration                       0.2857     0.1026     0.1509     39        
