Weighted F1: 0.2291
Average Location Accuracy: 0.2163
Average Location-Category Joint Accuracy: 0.0443

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.0794          0.6766 30        
security                              nan             nan 30        
instruction_adherence              0.3508          0.0573 30        
plan_optimization                  0.3475          0.0599 30        
overall                            0.2388          0.2039 30        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.1333     0.5000     0.2105     4         
Poor Information Retrieval               0.6000     0.2727     0.3750     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.2222     0.4444     0.2963     9         
Formatting Errors                        0.8889     0.6667     0.7619     36        
Instruction Non-compliance               1.0000     0.0294     0.0571     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                1.0000     0.0312     0.0606     32        
Resource Abuse                           0.0000     0.0000     0.0000     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
