source,target,frequency,count
Formatting Errors,Resource Abuse,0.94,94
Tool Selection Errors,Goal Deviation,0.93,93
Incorrect Problem Identification,Tool Output Misinterpretation,0.9,90
Poor Information Retrieval,Resource Abuse,0.69,69
Formatting Errors,Tool Output Misinterpretation,0.66,66
Formatting Errors,Context Handling Failures,0.63,63
Task Orchestration,Language-only,0.59,59
Resource Abuse,Tool-related,0.56,56
Tool Selection Errors,Language-only,0.51,51
Task Orchestration,Context Handling Failures,0.44,44
Formatting Errors,Poor Information Retrieval,0.39,39
Tool Selection Errors,Task Orchestration,0.39,39
Environment Setup Errors,Formatting Errors,0.37,37
Resource Abuse,Tool Output Misinterpretation,0.33,33
Instruction Non-compliance,Goal Deviation,0.32,32
Task Orchestration,Goal Deviation,0.32,32
Resource Abuse,Authentication Errors,0.3,30
Formatting Errors,Incorrect Problem Identification,0.3,30
Tool-related,Goal Deviation,0.3,30
Environment Setup Errors,Language-only,0.28,28
Formatting Errors,Service Errors,0.28,28
Poor Information Retrieval,Formatting Errors,0.28,28
Resource Abuse,Context Handling Failures,0.25,25
Poor Information Retrieval,Context Handling Failures,0.23,23
Formatting Errors,Resource Not Found,0.22,22
Goal Deviation,Tool-related,0.22,22
Instruction Non-compliance,Tool Selection Errors,0.22,22
Instruction Non-compliance,Resource Not Found,0.2,20
Instruction Non-compliance,Language-only,0.19,19
Tool Output Misinterpretation,Goal Deviation,0.18,18
Poor Information Retrieval,Tool-related,0.18,18
Tool Selection Errors,Authentication Errors,0.17,17
Formatting Errors,Language-only,0.17,17
Incorrect Problem Identification,Context Handling Failure,0.16,16
Formatting Errors,Authentication Errors,0.16,16
Incorrect Problem Identification,Formatting Errors,0.15,15
Environment Setup Errors,Context Handling Failures,0.13,13
Instruction Non-compliance,Tool-related,0.13,13
Environment Setup Errors,Resource Abuse,0.12,12
Resource Abuse,Poor Information Retrieval,0.12,12
Tool Output Misinterpretation,Formatting Errors,0.12,12
Context Handling Failure,Incorrect Problem Identification,0.12,12
Resource Not Found,Poor Information Retrieval,0.11,11
Tool-related,Environment Setup Errors,0.11,11
Instruction Non-compliance,Tool Definition Issues,0.11,11
Environment Setup Errors,Incorrect Problem Identification,0.1,10
Environment Setup Errors,Resource Exhaustion,0.1,10
Environment Setup Errors,Timeout Issues,0.1,10
Authentication Errors,Context Handling Failures,0.08,8
Task Orchestration Errors,Task Orchestration,0.08,8
Tool Output Misinterpretation,Context Handling Failures,0.08,8
Authentication Errors,Environment Setup Errors,0.08,8
Authentication Errors,Context Handling Failure,0.08,8
Poor Information Retrieval,Resource Not Found,0.08,8
Task Orchestration,Tool Selection Errors,0.07,7
Incorrect Problem Identification,Language-only,0.07,7
Instruction Non-compliance,Task Orchestration,0.07,7
Incorrect Problem Identification,Resource Exhaustion,0.07,7
Incorrect Problem Identification,Timeout Issues,0.07,7
Environment Setup Errors,Resource Not Found,0.06,6
Resource Not Found,Instruction Non-compliance,0.06,6
Goal Deviation,Environment Setup Errors,0.06,6
Tool Definition Issues,Instruction Non-compliance,0.06,6
Environment Setup Errors,Task Orchestration,0.06,6
Task Orchestration,Resource Abuse,0.06,6
Environment Setup Errors,Tool Output Misinterpretation,0.06,6
Environment Setup Errors,Poor Information Retrieval,0.06,6
Context Handling Failures,Service Errors,0.05,5
Tool-related,Resource Abuse,0.05,5
Task Orchestration,Tool Output Misinterpretation,0.05,5
Tool Selection Errors,Environment Setup Errors,0.05,5
Tool Definition Issues,Goal Deviation,0.05,5
Tool-related,Context Handling Failures,0.05,5
Environment Setup Errors,Goal Deviation,0.05,5
Resource Not Found,Language-only,0.05,5
Task Orchestration,Authentication Errors,0.04,4
Task Orchestration,Poor Information Retrieval,0.04,4
Resource Not Found,Resource Abuse,0.04,4
Authentication Errors,Formatting Errors,0.04,4
Authentication Errors,Tool Output Misinterpretation,0.04,4
Instruction Non-compliance,Incorrect Problem Identification,0.04,4
Task Orchestration,Tool-related,0.04,4
Incorrect Problem Identification,Resource Abuse,0.04,4
Incorrect Problem Identification,Task Orchestration,0.03,3
Tool Definition Issues,Context Handling Failures,0.03,3
Tool Output Misinterpretation,Language-only,0.03,3
Tool Definition Issues,Tool-related,0.03,3
Context Handling Failures,Task Orchestration,0.03,3
Formatting Errors,Environment Setup Errors,0.03,3
Task Orchestration,Incorrect Problem Identification,0.03,3
Resource Abuse,Resource Not Found,0.03,3
Incorrect Problem Identification,Goal Deviation,0.03,3
Tool Definition Issues,Task Orchestration,0.03,3
Goal Deviation,Context Handling Failure,0.03,3
Poor Information Retrieval,Goal Deviation,0.02,2
Instruction Non-compliance,Resource Exhaustion,0.02,2
Instruction Non-compliance,Timeout Issues,0.02,2
Tool-related,Context Handling Failure,0.02,2
Goal Deviation,Language-only,0.02,2
Task Orchestration,Service Errors,0.02,2
Task Orchestration,Resource Not Found,0.02,2
Environment Setup Errors,Tool-related,0.02,2
Formatting Errors,Tool-related,0.02,2
Goal Deviation,Context Handling Failures,0.02,2
Poor Information Retrieval,Tool Output Misinterpretation,0.02,2
Poor Information Retrieval,Authentication Errors,0.02,2
Poor Information Retrieval,Incorrect Problem Identification,0.02,2
Instruction Non-compliance,Environment Setup Errors,0.02,2
Context Handling Failures,Poor Information Retrieval,0.02,2
Task Orchestration,Resource Exhaustion,0.02,2
Task Orchestration,Timeout Issues,0.02,2
Task Orchestration Errors,Resource Abuse,0.01,1
Authentication Errors,Resource Abuse,0.01,1
Tool Selection Errors,Resource Not Found,0.01,1
Task Orchestration,Context Handling Failure,0.01,1
Tool Selection Errors,Context Handling Failure,0.01,1
Resource Abuse,Formatting Errors,0.01,1
Goal Deviation,Poor Information Retrieval,0.01,1
Tool Output Misinterpretation,Resource Abuse,0.01,1
Task Orchestration Errors,Tool Output Misinterpretation,0.01,1
Tool Selection Errors,Tool-related,0.01,1
Service Errors,Poor Information Retrieval,0.01,1
Language-only,Incorrect Problem Identification,0.01,1
Tool Selection Errors,Poor Information Retrieval,0.01,1
Tool Selection Errors,Instruction Non-compliance,0.01,1
Context Handling Failure,Language-only,0.01,1
