source,target,frequency,count
Formatting Errors,Resource Abuse,0.9,90
Incorrect Problem Identification,Tool Output Misinterpretation,0.88,88
Tool Selection Errors,Goal Deviation,0.83,83
Poor Information Retrieval,Resource Abuse,0.68,68
Formatting Errors,Context Handling Failures,0.47,47
Task Orchestration,Language-only,0.4,40
Formatting Errors,Tool Output Misinterpretation,0.37,37
Resource Abuse,Tool-related,0.37,37
Tool Selection Errors,Language-only,0.36,36
Formatting Errors,Poor Information Retrieval,0.34,34
Tool Selection Errors,Task Orchestration,0.31,31
Task Orchestration,Context Handling Failures,0.24,24
Poor Information Retrieval,Formatting Errors,0.21,21
Formatting Errors,Incorrect Problem Identification,0.2,20
Tool-related,Goal Deviation,0.2,20
Environment Setup Errors,Formatting Errors,0.19,19
Poor Information Retrieval,Context Handling Failures,0.19,19
Goal Deviation,Tool-related,0.17,17
Formatting Errors,Service Errors,0.17,17
Resource Abuse,Authentication Errors,0.15,15
Resource Abuse,Context Handling Failures,0.15,15
Incorrect Problem Identification,Context Handling Failure,0.14,14
Formatting Errors,Resource Not Found,0.14,14
Incorrect Problem Identification,Formatting Errors,0.12,12
Instruction Non-compliance,Resource Not Found,0.12,12
Resource Abuse,Poor Information Retrieval,0.12,12
Resource Abuse,Tool Output Misinterpretation,0.12,12
Tool Output Misinterpretation,Formatting Errors,0.1,10
Formatting Errors,Authentication Errors,0.1,10
Task Orchestration,Goal Deviation,0.09,9
Context Handling Failure,Incorrect Problem Identification,0.09,9
Incorrect Problem Identification,Resource Exhaustion,0.08,8
Resource Not Found,Poor Information Retrieval,0.07,7
Incorrect Problem Identification,Timeout Issues,0.07,7
Environment Setup Errors,Resource Not Found,0.06,6
Instruction Non-compliance,Goal Deviation,0.06,6
Context Handling Failures,Service Errors,0.06,6
Task Orchestration Errors,Task Orchestration,0.06,6
Environment Setup Errors,Incorrect Problem Identification,0.06,6
Formatting Errors,Language-only,0.06,6
Instruction Non-compliance,Language-only,0.06,6
Authentication Errors,Environment Setup Errors,0.06,6
Instruction Non-compliance,Tool Selection Errors,0.06,6
Environment Setup Errors,Language-only,0.06,6
Resource Not Found,Instruction Non-compliance,0.05,5
Tool Output Misinterpretation,Goal Deviation,0.05,5
Environment Setup Errors,Context Handling Failures,0.05,5
Poor Information Retrieval,Resource Not Found,0.05,5
Environment Setup Errors,Timeout Issues,0.04,4
Tool-related,Context Handling Failures,0.04,4
Instruction Non-compliance,Tool Definition Issues,0.04,4
Tool-related,Environment Setup Errors,0.03,3
Environment Setup Errors,Resource Exhaustion,0.03,3
Tool Output Misinterpretation,Context Handling Failures,0.03,3
Task Orchestration,Tool Selection Errors,0.03,3
Poor Information Retrieval,Tool-related,0.03,3
Authentication Errors,Context Handling Failure,0.03,3
Tool Selection Errors,Authentication Errors,0.03,3
Task Orchestration,Resource Abuse,0.03,3
Environment Setup Errors,Resource Abuse,0.02,2
Tool-related,Resource Abuse,0.02,2
Environment Setup Errors,Task Orchestration,0.02,2
Authentication Errors,Context Handling Failures,0.02,2
Tool Definition Issues,Instruction Non-compliance,0.02,2
Tool Definition Issues,Goal Deviation,0.02,2
Authentication Errors,Tool Output Misinterpretation,0.02,2
Authentication Errors,Formatting Errors,0.02,2
Resource Abuse,Resource Not Found,0.02,2
Resource Not Found,Language-only,0.02,2
Incorrect Problem Identification,Resource Abuse,0.02,2
Task Orchestration,Timeout Issues,0.02,2
Incorrect Problem Identification,Task Orchestration,0.01,1
Goal Deviation,Language-only,0.01,1
Tool Output Misinterpretation,Language-only,0.01,1
Instruction Non-compliance,Tool-related,0.01,1
Tool Definition Issues,Context Handling Failures,0.01,1
Environment Setup Errors,Tool-related,0.01,1
Resource Abuse,Formatting Errors,0.01,1
Environment Setup Errors,Goal Deviation,0.01,1
Goal Deviation,Context Handling Failure,0.01,1
Task Orchestration Errors,Tool Output Misinterpretation,0.01,1
Environment Setup Errors,Poor Information Retrieval,0.01,1
Goal Deviation,Context Handling Failures,0.01,1
Poor Information Retrieval,Authentication Errors,0.01,1
Instruction Non-compliance,Incorrect Problem Identification,0.01,1
Service Errors,Poor Information Retrieval,0.01,1
Formatting Errors,Environment Setup Errors,0.01,1
Task Orchestration,Resource Exhaustion,0.01,1
Tool Selection Errors,Instruction Non-compliance,0.01,1
