src,dst,src_id,dst_id,precedence,pr_delta,pr_delta_norm,precedence_n,s_obs,is_causal,weight
Resource Exhaustion,Incorrect Problem Identification,10,5,0.0,0.8957,1.0,1,0.1,False,0.1
Timeout Issues,Incorrect Problem Identification,14,5,0.0,0.8957,1.0,1,0.1,False,0.1
Service Errors,Formatting Errors,12,3,0.0,0.6087,0.67958,2,0.116499,False,0.116499
Poor Information Retrieval,Resource Abuse,8,9,0.6,0.5104,0.569834,10,0.387933,True,1.0
Tool Definition Issues,Goal Deviation,15,4,1.0,0.4825,0.538685,1,0.120535,False,0.120535
Tool Output Misinterpretation,Incorrect Problem Identification,16,5,0.0,0.4712,0.526069,6,0.172168,False,0.172168
Incorrect Problem Identification,Tool Output Misinterpretation,5,16,1.0,0.4417,0.493134,6,0.379571,True,1.0
Resource Not Found,Environment Setup Errors,11,2,0.0,0.4381,0.489115,1,0.048911,False,0.048911
Resource Exhaustion,Environment Setup Errors,10,2,0.0,0.4304,0.480518,1,0.048052,False,0.048052
Timeout Issues,Environment Setup Errors,14,2,0.0,0.4304,0.480518,1,0.048052,False,0.048052
Resource Abuse,Formatting Errors,9,3,0.25,0.4287,0.47862,20,0.309738,False,0.309738
Tool Output Misinterpretation,Formatting Errors,16,3,0.3333,0.4135,0.46165,9,0.263771,False,0.263771
Resource Abuse,Poor Information Retrieval,9,8,0.4,0.4032,0.450151,10,0.286727,False,0.286727
Poor Information Retrieval,Formatting Errors,8,3,0.4667,0.381,0.425366,15,0.331425,False,0.331425
Tool Selection Errors,Goal Deviation,17,4,1.0,0.3713,0.414536,9,0.417035,True,1.0
Authentication Errors,Resource Abuse,0,9,0.3333,0.3679,0.41074,3,0.142412,False,0.142412
Resource Not Found,Formatting Errors,11,3,0.0,0.3606,0.40259,2,0.069015,False,0.069015
Formatting Errors,Resource Abuse,3,9,0.75,0.3325,0.371218,20,0.418185,True,1.0
Resource Not Found,Poor Information Retrieval,11,8,0.5,0.3319,0.370548,2,0.120665,False,0.120665
Service Errors,Poor Information Retrieval,12,8,1.0,0.3261,0.364073,1,0.103074,False,0.103074
Service Errors,Context Handling Failures,12,1,0.0,0.3261,0.364073,1,0.036407,False,0.036407
Context Handling Failures,Formatting Errors,1,3,0.1111,0.3229,0.3605,9,0.167619,False,0.167619
Goal Deviation,Tool Selection Errors,4,17,0.0,0.3223,0.35983,9,0.138792,False,0.138792
Resource Not Found,Instruction Non-compliance,11,6,0.3333,0.3164,0.353243,3,0.129475,False,0.129475
Incorrect Problem Identification,Formatting Errors,5,3,0.4286,0.2739,0.305794,7,0.207035,False,0.207035
Resource Not Found,Resource Abuse,11,9,0.5,0.2611,0.291504,2,0.107115,False,0.107115
Task Orchestration,Tool Selection Errors,13,17,0.3333,0.2418,0.269956,3,0.110735,False,0.110735
Tool Output Misinterpretation,Resource Abuse,16,9,0.3333,0.2404,0.268393,6,0.160558,False,0.160558
Tool Selection Errors,Task Orchestration,17,13,0.6667,0.2345,0.261806,3,0.158911,False,0.158911
Formatting Errors,Poor Information Retrieval,3,8,0.5333,0.2334,0.260578,15,0.27725,False,0.27725
Resource Abuse,Tool-related,9,18,0.7,0.2328,0.259908,10,0.29063,True,1.0
Environment Setup Errors,Language-only,2,7,1.0,0.2315,0.258457,3,0.208153,False,0.208153
Authentication Errors,Context Handling Failures,0,1,1.0,0.2304,0.257229,2,0.158382,False,0.158382
Tool Definition Issues,Instruction Non-compliance,15,6,0.5,0.2281,0.254661,2,0.100799,False,0.100799
Tool Selection Errors,Language-only,17,7,1.0,0.2115,0.236128,4,0.240745,True,1.0
Authentication Errors,Formatting Errors,0,3,0.3333,0.2071,0.231216,3,0.102019,False,0.102019
Task Orchestration,Language-only,13,7,1.0,0.2052,0.229095,6,0.293158,False,0.293158
Resource Exhaustion,Task Orchestration,10,13,0.0,0.2043,0.22809,1,0.022809,False,0.022809
Service Errors,Task Orchestration,12,13,0.0,0.2043,0.22809,1,0.022809,False,0.022809
Timeout Issues,Task Orchestration,14,13,0.0,0.2043,0.22809,1,0.022809,False,0.022809
Environment Setup Errors,Resource Not Found,2,11,1.0,0.2037,0.22742,1,0.089409,False,0.089409
Tool-related,Resource Abuse,18,9,0.3,0.2037,0.22742,10,0.170968,False,0.170968
Language-only,Tool Selection Errors,7,17,0.0,0.2032,0.226862,4,0.060496,False,0.060496
Formatting Errors,Context Handling Failures,3,1,0.8889,0.1979,0.220945,9,0.313796,True,1.0
Tool-related,Goal Deviation,18,4,0.5,0.1975,0.220498,4,0.147688,False,0.147688
Language-only,Task Orchestration,7,13,0.0,0.1912,0.213464,6,0.069861,False,0.069861
Language-only,Goal Deviation,7,4,0.5,0.1825,0.203751,2,0.092072,False,0.092072
Formatting Errors,Tool Output Misinterpretation,3,16,0.6667,0.1699,0.189684,9,0.244601,True,1.0
Goal Deviation,Tool-related,4,18,0.5,0.1689,0.188568,4,0.139174,False,0.139174
Environment Setup Errors,Formatting Errors,2,3,0.6,0.1667,0.186111,5,0.175833,False,0.175833
Goal Deviation,Language-only,4,7,0.5,0.1648,0.18399,2,0.088684,False,0.088684
Resource Not Found,Language-only,11,7,1.0,0.1637,0.182762,2,0.145616,False,0.145616
Resource Exhaustion,Language-only,10,7,0.0,0.1609,0.179636,1,0.017964,False,0.017964
Timeout Issues,Language-only,14,7,0.0,0.1609,0.179636,1,0.017964,False,0.017964
Tool Definition Issues,Context Handling Failures,15,1,1.0,0.1579,0.176287,1,0.084295,False,0.084295
Context Handling Failures,Task Orchestration,1,13,0.2857,0.1577,0.176063,7,0.128286,False,0.128286
Instruction Non-compliance,Goal Deviation,6,4,0.913,0.1538,0.171709,23,0.384614,False,0.384614
Goal Deviation,Instruction Non-compliance,4,6,0.087,0.1525,0.170258,23,0.112499,False,0.112499
Environment Setup Errors,Goal Deviation,2,4,0.6,0.1481,0.165346,5,0.169604,False,0.169604
Tool Output Misinterpretation,Context Handling Failures,16,1,0.6667,0.1442,0.160991,3,0.136228,False,0.136228
Incorrect Problem Identification,Resource Exhaustion,5,10,1.0,0.1429,0.15954,1,0.082621,False,0.082621
Incorrect Problem Identification,Timeout Issues,5,14,1.0,0.1429,0.15954,1,0.082621,False,0.082621
Poor Information Retrieval,Context Handling Failures,8,1,0.6667,0.1295,0.14458,6,0.192779,False,0.192779
Context Handling Failures,Poor Information Retrieval,1,8,0.3333,0.1295,0.14458,6,0.120037,False,0.120037
Authentication Errors,Environment Setup Errors,0,2,1.0,0.1286,0.143575,1,0.081024,False,0.081024
Resource Abuse,Tool Output Misinterpretation,9,16,0.6667,0.1274,0.142235,6,0.192011,False,0.192011
Incorrect Problem Identification,Context Handling Failures,5,1,0.6667,0.1207,0.134755,3,0.130325,False,0.130325
Environment Setup Errors,Tool Output Misinterpretation,2,16,1.0,0.1204,0.13442,2,0.137329,False,0.137329
Formatting Errors,Incorrect Problem Identification,3,5,0.5714,0.1201,0.134085,7,0.180256,True,1.0
Environment Setup Errors,Incorrect Problem Identification,2,5,1.0,0.1111,0.124037,1,0.07907,False,0.07907
Task Orchestration,Context Handling Failures,13,1,0.7143,0.1108,0.123702,7,0.209966,True,1.0
Context Handling Failures,Resource Abuse,1,9,0.0,0.1042,0.116334,4,0.031022,False,0.031022
Environment Setup Errors,Resource Exhaustion,2,10,1.0,0.1019,0.113766,1,0.078043,False,0.078043
Environment Setup Errors,Timeout Issues,2,14,1.0,0.1019,0.113766,1,0.078043,False,0.078043
Tool Selection Errors,Instruction Non-compliance,17,6,0.3,0.101,0.112761,10,0.125104,False,0.125104
Task Orchestration,Goal Deviation,13,4,0.875,0.1,0.111645,8,0.256607,False,0.256607
Resource Exhaustion,Formatting Errors,10,3,0.0,0.1,0.111645,1,0.011164,False,0.011164
Timeout Issues,Formatting Errors,14,3,0.0,0.1,0.111645,1,0.011164,False,0.011164
Context Handling Failures,Tool Output Misinterpretation,1,16,0.3333,0.0967,0.10796,3,0.074286,False,0.074286
Authentication Errors,Tool Output Misinterpretation,0,16,1.0,0.0929,0.103718,1,0.077038,False,0.077038
Environment Setup Errors,Resource Abuse,2,9,0.6667,0.0926,0.103383,3,0.123266,False,0.123266
Poor Information Retrieval,Tool-related,8,18,0.75,0.0893,0.099699,8,0.221427,False,0.221427
