edge_a,edge_b,n_total,n_valid,n_disappeared,n_weakened,n_not_observable,n_unchanged,n_emerged,n_strengthened,delta,delta_valid_only,validated
Formatting Errors,Context Handling Failures,38,28,16,2,6,8,6,0,-0.3158,-0.6429,True
Formatting Errors,Incorrect Problem Identification,9,7,4,0,2,3,0,0,-0.4444,-0.5714,True
Formatting Errors,Resource Abuse,59,53,23,20,1,14,1,0,-0.3051,-0.3962,True
Formatting Errors,Tool Output Misinterpretation,6,5,2,0,4,0,0,0,-0.8333,-1.0,True
Incorrect Problem Identification,Tool Output Misinterpretation,7,4,3,0,4,0,0,0,-0.5714,-1.0,True
Poor Information Retrieval,Resource Abuse,11,7,7,3,0,0,1,0,-0.2727,-0.5714,False
Poor Information Retrieval,Tool-related,1,0,0,0,1,0,0,0,0.0,,False
Resource Abuse,Authentication Errors,1,1,0,0,1,0,0,0,-1.0,-1.0,True
Resource Abuse,Tool-related,6,3,4,0,1,0,1,0,-0.3333,-1.0,True
Task Orchestration,Context Handling Failures,10,9,7,0,1,2,0,0,-0.7,-0.7778,True
Tool Selection Errors,Goal Deviation,31,26,18,0,1,6,5,1,-0.4516,-0.6923,True
Tool Selection Errors,Language-only,18,11,12,0,5,0,1,0,-0.5556,-1.0,True
Tool Selection Errors,Task Orchestration,18,8,4,0,2,2,10,0,0.2222,-0.5,False
