Weighted F1: 0.1208
Average Location Accuracy: 0.0162
Average Location-Category Joint Accuracy: 0.0034

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.7029          0.0000 75        
security                              nan             nan 75        
instruction_adherence              0.3105          0.0067 75        
plan_optimization                  0.3898          0.0005 75        
overall                            0.6112          0.0000 75        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5122     0.5250     0.5185     40        
Tool-related                             0.5000     0.0278     0.0526     36        
Poor Information Retrieval               0.0000     0.0000     0.0000     21        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     13        
Incorrect Problem Identification         0.3333     0.0714     0.1176     14        
Tool Selection Errors                    0.5000     0.2973     0.3729     37        
Formatting Errors                        0.5000     0.0426     0.0784     47        
Instruction Non-compliance               0.3333     0.0192     0.0364     52        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 1.0000     0.1111     0.2000     9         
Authentication Errors                    0.0000     0.0000     0.0000     5         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     21        
Resource Abuse                           0.3333     0.0345     0.0625     29        
Goal Deviation                           0.6667     0.0323     0.0615     62        
Task Orchestration                       0.0000     0.0000     0.0000     35        
