Weighted F1: 0.1537
Average Location Accuracy: 0.0516
Average Location-Category Joint Accuracy: 0.0130

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6372          0.0000 87        
security                              nan             nan 86        
instruction_adherence              0.2546          0.0180 86        
plan_optimization                  0.4589          0.0000 85        
overall                            0.5517          0.0000 86        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.3889     0.3500     0.3684     40        
Tool-related                             0.5714     0.1111     0.1860     36        
Poor Information Retrieval               0.2857     0.1905     0.2286     21        
Tool Output Misinterpretation            0.1667     0.0769     0.1053     13        
Incorrect Problem Identification         0.0000     0.0000     0.0000     14        
Tool Selection Errors                    0.3846     0.2703     0.3175     37        
Formatting Errors                        0.5000     0.0638     0.1132     47        
Instruction Non-compliance               0.5000     0.0192     0.0370     52        
Tool Definition Issues                   0.6667     0.6667     0.6667     3         
Environment Setup Errors                 1.0000     0.1111     0.2000     9         
Authentication Errors                    1.0000     0.2000     0.3333     5         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1250     0.2500     0.1667     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.5000     0.5000     0.5000     2         
Context Handling Failures                0.0000     0.0000     0.0000     21        
Resource Abuse                           0.6250     0.1724     0.2703     29        
Goal Deviation                           0.6667     0.0323     0.0615     62        
Task Orchestration                       0.0000     0.0000     0.0000     35        
