Weighted F1: 0.1494
Average Location Accuracy: 0.1698
Average Location-Category Joint Accuracy: 0.0379

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6473          0.0000 87        
security                              nan             nan 86        
instruction_adherence              0.3736          0.0004 86        
plan_optimization                  0.5062          0.0000 85        
overall                            0.5829          0.0000 86        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4651     0.5000     0.4819     40        
Tool-related                             0.4286     0.0833     0.1395     36        
Poor Information Retrieval               0.0625     0.0476     0.0541     21        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     13        
Incorrect Problem Identification         0.2000     0.0714     0.1053     14        
Tool Selection Errors                    0.4324     0.4324     0.4324     37        
Formatting Errors                        0.5000     0.0426     0.0784     47        
Instruction Non-compliance               0.5714     0.0769     0.1356     52        
Tool Definition Issues                   0.2000     0.3333     0.2500     3         
Environment Setup Errors                 0.5000     0.1111     0.1818     9         
Authentication Errors                    1.0000     0.2000     0.3333     5         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1667     0.2500     0.2000     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           1.0000     0.5000     0.6667     2         
Context Handling Failures                0.0000     0.0000     0.0000     21        
Resource Abuse                           0.2000     0.0345     0.0588     29        
Goal Deviation                           1.0000     0.0161     0.0317     62        
Task Orchestration                       0.0000     0.0000     0.0000     35        
