Weighted F1: 0.2815
Average Location Accuracy: 0.1937
Average Location-Category Joint Accuracy: 0.0723

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6692          0.0000 77        
security                              nan             nan 77        
instruction_adherence              0.3032          0.0074 77        
plan_optimization                  0.4749          0.0000 77        
overall                            0.5904          0.0000 77        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5333     0.6000     0.5647     40        
Tool-related                             0.6667     0.0556     0.1026     36        
Poor Information Retrieval               0.0526     0.0476     0.0500     21        
Tool Output Misinterpretation            0.1000     0.0769     0.0870     13        
Incorrect Problem Identification         0.0909     0.0714     0.0800     14        
Tool Selection Errors                    0.4265     0.7838     0.5524     37        
Formatting Errors                        0.3333     0.1064     0.1613     47        
Instruction Non-compliance               0.5536     0.5962     0.5741     52        
Tool Definition Issues                   0.1111     0.3333     0.1667     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     5         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.2500     0.2500     0.2500     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           1.0000     0.5000     0.6667     2         
Context Handling Failures                0.0000     0.0000     0.0000     21        
Resource Abuse                           0.5000     0.0690     0.1212     29        
Goal Deviation                           0.8750     0.2258     0.3590     62        
Task Orchestration                       0.3333     0.0857     0.1364     35        
