Weighted F1: 0.1392
Average Location Accuracy: 0.1589
Average Location-Category Joint Accuracy: 0.0355

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6473          0.0000 87        
security                              nan             nan 86        
instruction_adherence              0.3736          0.0004 86        
plan_optimization                  0.5062          0.0000 85        
overall                            0.5829          0.0000 86        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4651     0.4762     0.4706     42        
Tool-related                             0.4286     0.0811     0.1364     37        
Poor Information Retrieval               0.0625     0.0455     0.0526     22        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     17        
Incorrect Problem Identification         0.2000     0.0500     0.0800     20        
Tool Selection Errors                    0.4324     0.4000     0.4156     40        
Formatting Errors                        0.5000     0.0385     0.0714     52        
Instruction Non-compliance               0.5714     0.0727     0.1290     55        
Tool Definition Issues                   0.2000     0.3333     0.2500     3         
Environment Setup Errors                 0.5000     0.1111     0.1818     9         
Authentication Errors                    1.0000     0.1667     0.2857     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1667     0.2500     0.2000     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           1.0000     0.5000     0.6667     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.2000     0.0333     0.0571     30        
Goal Deviation                           1.0000     0.0149     0.0294     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
