Weighted F1: 0.2562
Average Location Accuracy: 0.2546
Average Location-Category Joint Accuracy: 0.0404

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3423          0.0018 81        
security                              nan             nan 81        
instruction_adherence              0.1423          0.2050 81        
plan_optimization                  0.2186          0.0500 81        
overall                            0.2610          0.0186 81        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.6000     0.3000     0.4000     40        
Tool-related                             0.4500     0.2500     0.3214     36        
Poor Information Retrieval               0.0000     0.0000     0.0000     21        
Tool Output Misinterpretation            0.0811     0.2308     0.1200     13        
Incorrect Problem Identification         0.0769     0.1429     0.1000     14        
Tool Selection Errors                    0.3788     0.6757     0.4854     37        
Formatting Errors                        0.3636     0.0851     0.1379     47        
Instruction Non-compliance               0.5303     0.6731     0.5932     52        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     5         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0909     0.2500     0.1333     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           1.0000     0.5000     0.6667     2         
Context Handling Failures                0.6667     0.0952     0.1667     21        
Resource Abuse                           0.0794     0.1724     0.1087     29        
Goal Deviation                           0.9000     0.1452     0.2500     62        
Task Orchestration                       0.0000     0.0000     0.0000     35        
