Weighted F1: 0.3174
Average Location Accuracy: 0.2540
Average Location-Category Joint Accuracy: 0.1278

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                           nan             nan 70        
security                              nan             nan 70        
instruction_adherence              0.0916          0.4508 70        
plan_optimization                  0.0536          0.6594 70        
overall                            0.0130          0.9147 70        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5152     0.4048     0.4533     42        
Tool-related                             0.3077     0.5405     0.3922     37        
Poor Information Retrieval               0.1176     0.0909     0.1026     22        
Tool Output Misinterpretation            0.0755     0.2353     0.1143     17        
Incorrect Problem Identification         0.1167     0.3500     0.1750     20        
Tool Selection Errors                    0.4667     0.3500     0.4000     40        
Formatting Errors                        0.2564     0.1923     0.2198     52        
Instruction Non-compliance               0.6579     0.4545     0.5376     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1250     0.2500     0.1667     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.1111     0.2222     0.1481     27        
Resource Abuse                           0.0882     0.2000     0.1224     30        
Goal Deviation                           0.7083     0.5075     0.5913     67        
Task Orchestration                       0.4000     0.0513     0.0909     39        
