Weighted F1: 0.1374
Average Location Accuracy: 0.0000
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.2425          0.0254 85        
security                              nan             nan 85        
instruction_adherence              0.1247          0.2556 85        
plan_optimization                  0.0773          0.4820 85        
overall                            0.1904          0.0809 85        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4054     0.3571     0.3797     42        
Tool-related                             0.0000     0.0000     0.0000     37        
Poor Information Retrieval               0.2500     0.0455     0.0769     22        
Tool Output Misinterpretation            0.1818     0.1176     0.1429     17        
Incorrect Problem Identification         0.0545     0.1500     0.0800     20        
Tool Selection Errors                    0.3553     0.6750     0.4655     40        
Formatting Errors                        0.3333     0.0192     0.0364     52        
Instruction Non-compliance               0.4615     0.2182     0.2963     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.3333     0.0333     0.0606     30        
Goal Deviation                           0.5000     0.0299     0.0563     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
