Weighted F1: 0.2455
Average Location Accuracy: 0.0448
Average Location-Category Joint Accuracy: 0.0020

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                       -0.0343          0.7510 88        
security                              nan             nan 88        
instruction_adherence              0.1407          0.1911 88        
plan_optimization                  0.0081          0.9401 88        
overall                            0.0475          0.6602 88        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4333     0.3095     0.3611     42        
Tool-related                             0.4615     0.1622     0.2400     37        
Poor Information Retrieval               0.0000     0.0000     0.0000     22        
Tool Output Misinterpretation            0.2000     0.0588     0.0909     17        
Incorrect Problem Identification         0.1333     0.3000     0.1846     20        
Tool Selection Errors                    0.3529     0.7500     0.4800     40        
Formatting Errors                        0.2778     0.2885     0.2830     52        
Instruction Non-compliance               0.6667     0.0727     0.1311     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.0526     0.0667     0.0588     30        
Goal Deviation                           0.6377     0.6567     0.6471     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
