Weighted F1: 0.1469
Average Location Accuracy: 0.0042
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5457          0.0157 19        
security                              nan             nan 19        
instruction_adherence              0.2942          0.2215 19        
plan_optimization                  0.4213          0.0724 19        
overall                            0.3582          0.1321 19        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.2857     0.5000     0.3636     4         
Poor Information Retrieval               0.2500     0.0909     0.1333     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.2727     0.3333     0.3000     9         
Formatting Errors                        0.7857     0.3056     0.4400     36        
Instruction Non-compliance               0.5000     0.0294     0.0556     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     32        
Resource Abuse                           0.2500     0.0588     0.0952     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
