Weighted F1: 0.1516
Average Location Accuracy: 0.0236
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5460          0.0156 19        
security                              nan             nan 19        
instruction_adherence              0.2284          0.3469 19        
plan_optimization                  0.6091          0.0056 19        
overall                            0.3472          0.1452 19        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.6667     0.5000     0.5714     4         
Poor Information Retrieval               0.2500     0.0909     0.1333     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.2500     0.1111     0.1538     9         
Formatting Errors                        0.7500     0.1667     0.2727     36        
Instruction Non-compliance               0.7500     0.0882     0.1579     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     32        
Resource Abuse                           0.5000     0.2353     0.3200     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
