Weighted F1: 0.2694
Average Location Accuracy: 0.2019
Average Location-Category Joint Accuracy: 0.0667

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6517          0.0000 90        
security                              nan             nan 90        
instruction_adherence              0.2442          0.0204 90        
plan_optimization                  0.3719          0.0003 90        
overall                            0.5505          0.0000 90        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5000     0.5714     0.5333     42        
Tool-related                             0.2857     0.0541     0.0909     37        
Poor Information Retrieval               0.2222     0.0909     0.1290     22        
Tool Output Misinterpretation            0.0769     0.0588     0.0667     17        
Incorrect Problem Identification         0.2500     0.1000     0.1429     20        
Tool Selection Errors                    0.4265     0.7250     0.5370     40        
Formatting Errors                        0.4091     0.1731     0.2432     52        
Instruction Non-compliance               0.5357     0.5455     0.5405     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1250     0.2500     0.1667     4         
Resource Exhaustion                      0.6667     1.0000     0.8000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.6667     0.0667     0.1212     30        
Goal Deviation                           0.8095     0.2537     0.3864     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
