Weighted F1: 0.2576
Average Location Accuracy: 0.1692
Average Location-Category Joint Accuracy: 0.0459

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6548          0.0000 90        
security                              nan             nan 90        
instruction_adherence              0.3910          0.0001 90        
plan_optimization                  0.4544          0.0000 90        
overall                            0.5776          0.0000 90        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4815     0.6190     0.5417     42        
Tool-related                             0.5000     0.0541     0.0976     37        
Poor Information Retrieval               0.1818     0.0909     0.1212     22        
Tool Output Misinterpretation            0.1739     0.2353     0.2000     17        
Incorrect Problem Identification         0.0000     0.0000     0.0000     20        
Tool Selection Errors                    0.4085     0.7250     0.5225     40        
Formatting Errors                        0.3077     0.0769     0.1231     52        
Instruction Non-compliance               0.5484     0.6182     0.5812     55        
Tool Definition Issues                   0.1667     0.3333     0.2222     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1000     0.2500     0.1429     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.2000     0.0333     0.0571     30        
Goal Deviation                           0.9375     0.2239     0.3614     67        
Task Orchestration                       0.2000     0.0256     0.0455     39        
