Weighted F1: 0.2713
Average Location Accuracy: 0.0292
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5594          0.0128 19        
security                              nan             nan 19        
instruction_adherence              0.2430          0.3162 19        
plan_optimization                  0.5177          0.0232 19        
overall                            0.4771          0.0389 19        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.5455     0.5455     0.5455     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.2857     0.2222     0.2500     9         
Formatting Errors                        0.8889     0.2222     0.3556     36        
Instruction Non-compliance               0.7273     0.2353     0.3556     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.5000     0.1250     0.2000     32        
Resource Abuse                           0.4286     0.3529     0.3871     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
