Weighted F1: 0.2229
Average Location Accuracy: 0.1829
Average Location-Category Joint Accuracy: 0.0440

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5972          0.0000 87        
security                              nan             nan 87        
instruction_adherence              0.3365          0.0014 87        
plan_optimization                  0.3879          0.0002 87        
overall                            0.5174          0.0000 86        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.3235     0.2619     0.2895     42        
Tool-related                             0.2143     0.0811     0.1176     37        
Poor Information Retrieval               0.0909     0.0909     0.0909     22        
Tool Output Misinterpretation            0.2222     0.1176     0.1538     17        
Incorrect Problem Identification         0.0000     0.0000     0.0000     20        
Tool Selection Errors                    0.3488     0.3750     0.3614     40        
Formatting Errors                        0.3500     0.1346     0.1944     52        
Instruction Non-compliance               0.5714     0.2909     0.3855     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1111     0.2500     0.1538     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.3333     0.0667     0.1111     30        
Goal Deviation                           0.8148     0.3284     0.4681     67        
Task Orchestration                       0.5000     0.0256     0.0488     39        
