Weighted F1: 0.1150
Average Location Accuracy: 0.0440
Average Location-Category Joint Accuracy: 0.0089

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4560          0.0000 75        
security                              nan             nan 75        
instruction_adherence              0.1673          0.1513 75        
plan_optimization                  0.2916          0.0136 71        
overall                            0.3955          0.0005 74        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4865     0.4286     0.4557     42        
Tool-related                             0.2000     0.0270     0.0476     37        
Poor Information Retrieval               0.0000     0.0000     0.0000     22        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     17        
Incorrect Problem Identification         0.0000     0.0000     0.0000     20        
Tool Selection Errors                    0.4828     0.3500     0.4058     40        
Formatting Errors                        0.4286     0.0577     0.1017     52        
Instruction Non-compliance               0.3333     0.0182     0.0345     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 1.0000     0.1111     0.2000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.5000     0.2500     0.3333     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.0000     0.0000     0.0000     30        
Goal Deviation                           0.3750     0.0448     0.0800     67        
Task Orchestration                       1.0000     0.0256     0.0500     39        
