Weighted F1: 0.4277
Average Location Accuracy: 0.3754
Average Location-Category Joint Accuracy: 0.1552

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6221          0.0000 109       
security                              nan             nan 109       
instruction_adherence              0.2590          0.0065 109       
plan_optimization                  0.2952          0.0018 109       
overall                            0.4673          0.0000 109       

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4630     0.6250     0.5319     40        
Tool-related                             0.4444     0.3333     0.3810     36        
Poor Information Retrieval               0.4400     0.5238     0.4783     21        
Tool Output Misinterpretation            0.1538     0.1538     0.1538     13        
Incorrect Problem Identification         0.2353     0.2857     0.2581     14        
Tool Selection Errors                    0.6000     0.2432     0.3462     37        
Formatting Errors                        0.8462     0.4681     0.6027     47        
Instruction Non-compliance               0.5161     0.6154     0.5614     52        
Tool Definition Issues                   0.5000     0.3333     0.4000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    1.0000     0.2000     0.3333     5         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1111     0.2500     0.1538     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.5714     0.1905     0.2857     21        
Resource Abuse                           0.6333     0.6552     0.6441     29        
Goal Deviation                           0.7600     0.3065     0.4368     62        
Task Orchestration                       0.3529     0.1714     0.2308     35        
