Weighted F1: 0.4075
Average Location Accuracy: 0.3514
Average Location-Category Joint Accuracy: 0.1448

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5562          0.0000 110       
security                              nan             nan 110       
instruction_adherence              0.2882          0.0023 110       
plan_optimization                  0.4233          0.0000 110       
overall                            0.4805          0.0000 110       

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4815     0.6190     0.5417     42        
Tool-related                             0.3448     0.2703     0.3030     37        
Poor Information Retrieval               0.4643     0.5909     0.5200     22        
Tool Output Misinterpretation            0.1500     0.1765     0.1622     17        
Incorrect Problem Identification         0.0385     0.0500     0.0435     20        
Tool Selection Errors                    0.5714     0.2000     0.2963     40        
Formatting Errors                        0.6774     0.4038     0.5060     52        
Instruction Non-compliance               0.4375     0.5091     0.4706     55        
Tool Definition Issues                   0.3333     0.3333     0.3333     3         
Environment Setup Errors                 0.5000     0.2222     0.3077     9         
Authentication Errors                    0.6667     0.3333     0.4444     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.5556     0.1852     0.2778     27        
Resource Abuse                           0.6571     0.7667     0.7077     30        
Goal Deviation                           0.6429     0.5373     0.5854     67        
Task Orchestration                       0.2308     0.0769     0.1154     39        
