Weighted F1: 0.3118
Average Location Accuracy: 0.0255
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5799          0.0047 22        
security                              nan             nan 22        
instruction_adherence              0.3469          0.1137 22        
plan_optimization                  0.3965          0.0677 22        
overall                            0.4433          0.0388 22        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            1.0000     0.2000     0.3333     10        
Tool-related                             0.0000     0.0000     0.0000     3         
Poor Information Retrieval               0.2941     0.6250     0.4000     8         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.5000     0.1667     0.2500     6         
Formatting Errors                        0.9091     0.3704     0.5263     27        
Instruction Non-compliance               0.7778     0.2692     0.4000     26        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.6667     0.0870     0.1538     23        
Resource Abuse                           0.2500     0.1538     0.1905     13        
Goal Deviation                           0.0000     0.0000     0.0000     2         
Task Orchestration                       0.0000     0.0000     0.0000     4         
