Weighted F1: 0.1929
Average Location Accuracy: 0.0179
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4743          0.1970 9         
security                              nan             nan 9         
instruction_adherence              0.3814          0.3112 9         
plan_optimization                  0.2681          0.4856 9         
overall                            0.4490          0.2254 9         

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     6         
Tool-related                             0.0000     0.0000     0.0000     2         
Poor Information Retrieval               0.3333     0.6667     0.4444     3         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.0000     0.0000     0.0000     4         
Formatting Errors                        0.8000     0.3636     0.5000     11        
Instruction Non-compliance               0.5000     0.2000     0.2857     10        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.0000     0.0000     0.0000     10        
Resource Abuse                           0.2500     0.2000     0.2222     5         
Goal Deviation                           0.0000     0.0000     0.0000     2         
Task Orchestration                       0.0000     0.0000     0.0000     1         
